seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6737.0,-2457.0,2974.0,-4431.0,18133.0,10372.0,-12312.0,0,0,0,NONE,0,2019-06-14T14:48:49.912158
-6701.0,-2467.0,3009.0,-4417.0,18180.0,10386.0,-12325.0,0,0,0,NONE,0,2019-06-14T14:48:50.515710
-6710.0,-2392.0,2991.0,-4481.0,18208.0,10390.0,-12323.0,0,0,0,NONE,0,2019-06-14T14:48:51.048495
-6702.0,-2414.0,3009.0,-4517.0,18163.0,10379.0,-12278.0,0,0,0,NONE,0,2019-06-14T14:48:51.652539
-6707.0,-2516.0,2942.0,-4489.0,18174.0,10351.0,-12355.0,0,0,0,NONE,0,2019-06-14T14:48:52.184143
-6638.0,-2386.0,2943.0,-4480.0,18224.0,10403.0,-12339.0,0,0,0,NONE,0,2019-06-14T14:48:52.789149
-6662.0,-2437.0,2977.0,-4518.0,18190.0,10338.0,-12330.0,0,0,0,NONE,0,2019-06-14T14:48:53.319164
-6721.0,-2415.0,2964.0,-4541.0,18222.0,10394.0,-12323.0,0,0,0,NONE,0,2019-06-14T14:48:53.925275
-6611.0,-2377.0,2961.0,-4564.0,18201.0,10410.0,-12342.0,0,0,0,NONE,0,2019-06-14T14:48:54.453318
-6641.0,-2332.0,2988.0,-4497.0,18207.0,10397.0,-12345.0,0,0,0,NONE,0,2019-06-14T14:48:55.021674
-6599.0,-2322.0,2965.0,-4507.0,18199.0,10321.0,-12312.0,0,0,0,NONE,0,2019-06-14T14:48:55.590896
-6668.0,-2328.0,2939.0,-4525.0,18236.0,10393.0,-12377.0,0,0,0,NONE,0,2019-06-14T14:48:56.155997
-6679.0,-2330.0,2977.0,-4532.0,18276.0,10353.0,-12321.0,0,0,0,NONE,0,2019-06-14T14:48:56.724361
-6680.0,-2363.0,2950.0,-4537.0,18233.0,10287.0,-12320.0,0,0,0,NONE,0,2019-06-14T14:48:57.293082
-6643.0,-2340.0,2941.0,-4570.0,18195.0,10384.0,-12374.0,0,0,0,NONE,0,2019-06-14T14:48:57.859644
-6623.0,-2292.0,2953.0,-4533.0,18232.0,10321.0,-12377.0,0,0,0,NONE,0,2019-06-14T14:48:58.427730
-6540.0,-2297.0,2912.0,-4545.0,18203.0,10347.0,-12305.0,0,0,0,NONE,0,2019-06-14T14:48:58.995667
-6603.0,-2266.0,2919.0,-4550.0,18250.0,10219.0,-12262.0,0,0,0,NONE,0,2019-06-14T14:48:59.561958
-6551.0,-2215.0,2909.0,-4620.0,18221.0,10222.0,-12319.0,0,0,0,NONE,0,2019-06-14T14:49:00.130730
-6499.0,-2187.0,2907.0,-4666.0,18204.0,10211.0,-12308.0,0,0,0,NONE,0,2019-06-14T14:49:00.697781
