seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3251.0,6319.0,4499.0,-1848.0,-2478.0,-2433.0,-1822.0,0,0,0,NONE,0,2019-06-14T16:31:11.415459
-3242.0,6261.0,4473.0,-1849.0,-2385.0,-2400.0,-1834.0,0,0,0,NONE,0,2019-06-14T16:31:11.984947
-3198.0,6302.0,4505.0,-1818.0,-2499.0,-2317.0,-1782.0,0,0,0,NONE,0,2019-06-14T16:31:12.553365
-3251.0,6338.0,4436.0,-1872.0,-2514.0,-2275.0,-1783.0,0,0,0,NONE,0,2019-06-14T16:31:13.119516
-3215.0,6322.0,4416.0,-1816.0,-2507.0,-2319.0,-1803.0,0,0,0,NONE,0,2019-06-14T16:31:13.690155
-3236.0,6270.0,4459.0,-1812.0,-2464.0,-2342.0,-1848.0,0,0,0,NONE,0,2019-06-14T16:31:14.256428
-3272.0,6266.0,4423.0,-1881.0,-2440.0,-2332.0,-1782.0,0,0,0,NONE,0,2019-06-14T16:31:14.827347
-3198.0,6323.0,4477.0,-1888.0,-2505.0,-2376.0,-1848.0,0,0,0,NONE,0,2019-06-14T16:31:15.393301
-3241.0,6296.0,4452.0,-1893.0,-2536.0,-2330.0,-1845.0,0,0,0,NONE,0,2019-06-14T16:31:15.964111
-3192.0,6275.0,4439.0,-1934.0,-2574.0,-2392.0,-1846.0,0,0,0,NONE,0,2019-06-14T16:31:16.528095
-3178.0,6286.0,4465.0,-1937.0,-2563.0,-2374.0,-1816.0,0,0,0,NONE,0,2019-06-14T16:31:17.100938
-3071.0,6288.0,4444.0,-1977.0,-2595.0,-2384.0,-1860.0,0,0,0,NONE,0,2019-06-14T16:31:17.665027
-3045.0,6311.0,4442.0,-2031.0,-2539.0,-2374.0,-1863.0,0,0,0,NONE,0,2019-06-14T16:31:18.239263
-3057.0,6310.0,4516.0,-2119.0,-2541.0,-2389.0,-1773.0,0,0,0,NONE,0,2019-06-14T16:31:18.801140
-3062.0,6283.0,4499.0,-2143.0,-2516.0,-2372.0,-1863.0,0,0,0,NONE,0,2019-06-14T16:31:19.375533
-3030.0,6326.0,4478.0,-2231.0,-2588.0,-2395.0,-1899.0,0,0,0,NONE,0,2019-06-14T16:31:19.937081
-3000.0,6309.0,4438.0,-2209.0,-2605.0,-2467.0,-1835.0,0,0,0,NONE,0,2019-06-14T16:31:20.513588
-2955.0,6261.0,4416.0,-2226.0,-2646.0,-2449.0,-1855.0,0,0,0,NONE,0,2019-06-14T16:31:21.072807
-2964.0,6350.0,4405.0,-2288.0,-2614.0,-2428.0,-1846.0,0,0,0,NONE,0,2019-06-14T16:31:21.650409
-2991.0,6349.0,4423.0,-2336.0,-2706.0,-2498.0,-1909.0,0,0,0,NONE,0,2019-06-14T16:31:22.209707
