seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-875.0,9493.0,-360.0,-1691.0,2524.0,50.0,-2958.0,0,0,0,NONE,0,2019-06-14T14:19:48.450864
-847.0,9527.0,-382.0,-1753.0,2546.0,-12.0,-3051.0,0,0,0,NONE,0,2019-06-14T14:19:49.026543
-820.0,9576.0,-348.0,-1739.0,2540.0,-48.0,-2924.0,0,0,0,NONE,0,2019-06-14T14:19:49.587204
-806.0,9488.0,-274.0,-1687.0,2551.0,-60.0,-2954.0,0,0,0,NONE,0,2019-06-14T14:19:50.163045
-825.0,9436.0,-291.0,-1757.0,2532.0,-63.0,-2975.0,0,0,0,NONE,0,2019-06-14T14:19:50.721926
-806.0,9545.0,-227.0,-1742.0,2587.0,-150.0,-2930.0,0,0,0,NONE,0,2019-06-14T14:19:51.298485
-820.0,9491.0,-322.0,-1740.0,2525.0,-83.0,-2907.0,0,0,0,NONE,0,2019-06-14T14:19:51.856899
-798.0,9510.0,-305.0,-1643.0,2624.0,-99.0,-2883.0,0,0,0,NONE,0,2019-06-14T14:19:52.434361
-829.0,9491.0,-303.0,-1727.0,2565.0,-71.0,-2856.0,0,0,0,NONE,0,2019-06-14T14:19:52.991417
-891.0,9522.0,-267.0,-1684.0,2604.0,-110.0,-2850.0,0,0,0,NONE,0,2019-06-14T14:19:53.569472
-851.0,9480.0,-276.0,-1626.0,2579.0,-65.0,-2838.0,0,0,0,NONE,0,2019-06-14T14:19:54.126163
-810.0,9537.0,-233.0,-1625.0,2598.0,-124.0,-2872.0,0,0,0,NONE,0,2019-06-14T14:19:54.706310
-805.0,9511.0,-216.0,-1650.0,2575.0,-127.0,-2860.0,0,0,0,NONE,0,2019-06-14T14:19:55.260961
-832.0,9522.0,-250.0,-1643.0,2569.0,-88.0,-2851.0,0,0,0,NONE,0,2019-06-14T14:19:55.842209
-812.0,9482.0,-270.0,-1637.0,2686.0,-170.0,-2874.0,0,0,0,NONE,0,2019-06-14T14:19:56.395783
-849.0,9529.0,-237.0,-1673.0,2610.0,-234.0,-2794.0,0,0,0,NONE,0,2019-06-14T14:19:56.977662
-802.0,9553.0,-234.0,-1720.0,2504.0,-197.0,-2842.0,0,0,0,NONE,0,2019-06-14T14:19:57.530529
-769.0,9575.0,-201.0,-1670.0,2675.0,-161.0,-2776.0,0,0,0,NONE,0,2019-06-14T14:19:58.113731
-778.0,9560.0,-207.0,-1688.0,2629.0,-194.0,-2816.0,0,0,0,NONE,0,2019-06-14T14:19:58.665272
-790.0,9579.0,-185.0,-1689.0,2634.0,-244.0,-2791.0,0,0,0,NONE,0,2019-06-14T14:19:59.250134
