seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
3723.0,2028.0,4787.0,1477.0,-7540.0,-5871.0,7226.0,0,0,0,NONE,0,2019-06-14T11:55:16.495585
3622.0,2063.0,4715.0,1485.0,-7547.0,-5927.0,7219.0,0,0,0,NONE,0,2019-06-14T11:55:17.054956
3615.0,2099.0,4664.0,1522.0,-7535.0,-5932.0,7244.0,0,0,0,NONE,0,2019-06-14T11:55:17.631972
3601.0,2051.0,4627.0,1547.0,-7585.0,-5978.0,7299.0,0,0,0,NONE,0,2019-06-14T11:55:18.189490
3541.0,2075.0,4547.0,1562.0,-7480.0,-5972.0,7285.0,0,0,0,NONE,0,2019-06-14T11:55:18.767750
3559.0,2147.0,4556.0,1579.0,-7509.0,-6082.0,7270.0,0,0,0,NONE,0,2019-06-14T11:55:19.324109
3561.0,2132.0,4517.0,1645.0,-7568.0,-6054.0,7318.0,0,0,0,NONE,0,2019-06-14T11:55:19.903677
3542.0,2151.0,4453.0,1653.0,-7519.0,-6084.0,7371.0,0,0,0,NONE,0,2019-06-14T11:55:20.458482
3521.0,2185.0,4462.0,1617.0,-7556.0,-6186.0,7381.0,0,0,0,NONE,0,2019-06-14T11:55:21.039765
3508.0,2135.0,4433.0,1713.0,-7598.0,-6197.0,7409.0,0,0,0,NONE,0,2019-06-14T11:55:21.593130
3557.0,2175.0,4439.0,1579.0,-7596.0,-6229.0,7413.0,0,0,0,NONE,0,2019-06-14T11:55:22.175598
3623.0,2225.0,4478.0,1571.0,-7503.0,-6273.0,7293.0,0,0,0,NONE,0,2019-06-14T11:55:22.728065
3646.0,2217.0,4438.0,1665.0,-7567.0,-6271.0,7343.0,0,0,0,NONE,0,2019-06-14T11:55:23.311233
3667.0,2164.0,4529.0,1573.0,-7598.0,-6210.0,7378.0,0,0,0,NONE,0,2019-06-14T11:55:23.862231
3705.0,2155.0,4415.0,1513.0,-7577.0,-6273.0,7378.0,0,0,0,NONE,0,2019-06-14T11:55:24.447264
3752.0,2141.0,4571.0,1469.0,-7609.0,-6191.0,7335.0,0,0,0,NONE,0,2019-06-14T11:55:24.997141
3732.0,2150.0,4529.0,1478.0,-7619.0,-6141.0,7393.0,0,0,0,NONE,0,2019-06-14T11:55:25.583429
3758.0,2173.0,4570.0,1538.0,-7620.0,-6183.0,7337.0,0,0,0,NONE,0,2019-06-14T11:55:26.131318
3765.0,2118.0,4554.0,1550.0,-7645.0,-6119.0,7419.0,0,0,0,NONE,0,2019-06-14T11:55:26.718954
3761.0,2116.0,4504.0,1459.0,-7642.0,-6089.0,7371.0,0,0,0,NONE,0,2019-06-14T11:55:27.266130
