seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2854.0,-2003.0,3493.0,2736.0,3046.0,436.0,4745.0,0,0,0,NONE,0,2019-06-14T11:58:40.856778
-2843.0,-2010.0,3465.0,2730.0,3054.0,436.0,4757.0,0,0,0,NONE,0,2019-06-14T11:58:41.384878
-2860.0,-2030.0,3510.0,2731.0,3085.0,503.0,4699.0,0,0,0,NONE,0,2019-06-14T11:58:41.992738
-2861.0,-2047.0,3533.0,2646.0,3124.0,484.0,4740.0,0,0,0,NONE,0,2019-06-14T11:58:42.519785
-2892.0,-2018.0,3563.0,2667.0,3097.0,459.0,4672.0,0,0,0,NONE,0,2019-06-14T11:58:43.128723
-2935.0,-2044.0,3510.0,2679.0,3127.0,513.0,4669.0,0,0,0,NONE,0,2019-06-14T11:58:43.654614
-2899.0,-2015.0,3494.0,2684.0,3124.0,516.0,4682.0,0,0,0,NONE,0,2019-06-14T11:58:44.221989
-2924.0,-2104.0,3485.0,2614.0,3251.0,521.0,4651.0,0,0,0,NONE,0,2019-06-14T11:58:44.789332
-2924.0,-2139.0,3468.0,2683.0,3232.0,555.0,4644.0,0,0,0,NONE,0,2019-06-14T11:58:45.356766
-2916.0,-2072.0,3487.0,2579.0,3194.0,567.0,4637.0,0,0,0,NONE,0,2019-06-14T11:58:45.924210
-2911.0,-2106.0,3464.0,2655.0,3227.0,505.0,4596.0,0,0,0,NONE,0,2019-06-14T11:58:46.491728
-2936.0,-2127.0,3543.0,2570.0,3297.0,524.0,4625.0,0,0,0,NONE,0,2019-06-14T11:58:47.058882
-2990.0,-2170.0,3481.0,2618.0,3231.0,581.0,4540.0,0,0,0,NONE,0,2019-06-14T11:58:47.626556
-2973.0,-2143.0,3527.0,2602.0,3275.0,597.0,4563.0,0,0,0,NONE,0,2019-06-14T11:58:48.193962
-2985.0,-2122.0,3504.0,2537.0,3277.0,627.0,4514.0,0,0,0,NONE,0,2019-06-14T11:58:48.761371
-2983.0,-2154.0,3501.0,2573.0,3313.0,528.0,4518.0,0,0,0,NONE,0,2019-06-14T11:58:49.328846
-2975.0,-2165.0,3493.0,2552.0,3338.0,605.0,4476.0,0,0,0,NONE,0,2019-06-14T11:58:49.896314
-2993.0,-2176.0,3560.0,2534.0,3331.0,608.0,4477.0,0,0,0,NONE,0,2019-06-14T11:58:50.463556
-2974.0,-2199.0,3504.0,2527.0,3321.0,663.0,4431.0,0,0,0,NONE,0,2019-06-14T11:58:51.031112
-3004.0,-2173.0,3467.0,2571.0,3325.0,721.0,4460.0,0,0,0,NONE,0,2019-06-14T11:58:51.598244
