seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
2402.0,16073.0,2008.0,602.0,-23524.0,-11015.0,9597.0,0,0,0,NONE,0,2019-06-14T16:07:38.056544
2361.0,16087.0,1950.0,669.0,-23577.0,-10957.0,9611.0,0,0,0,NONE,0,2019-06-14T16:07:38.602984
2437.0,16108.0,1969.0,729.0,-23505.0,-11083.0,9629.0,0,0,0,NONE,0,2019-06-14T16:07:39.193722
2380.0,16072.0,1999.0,741.0,-23598.0,-11049.0,9659.0,0,0,0,NONE,0,2019-06-14T16:07:39.738645
2409.0,16216.0,2003.0,766.0,-23623.0,-11088.0,9702.0,0,0,0,NONE,0,2019-06-14T16:07:40.330500
2352.0,16214.0,1972.0,762.0,-23587.0,-11154.0,9734.0,0,0,0,NONE,0,2019-06-14T16:07:40.874351
2364.0,16240.0,1960.0,836.0,-23577.0,-11189.0,9779.0,0,0,0,NONE,0,2019-06-14T16:07:41.466730
2351.0,16224.0,2002.0,797.0,-23622.0,-11182.0,9798.0,0,0,0,NONE,0,2019-06-14T16:07:42.010130
2480.0,16280.0,2024.0,837.0,-23731.0,-11236.0,9836.0,0,0,0,NONE,0,2019-06-14T16:07:42.603199
2420.0,16282.0,2057.0,819.0,-23752.0,-11241.0,9839.0,0,0,0,NONE,0,2019-06-14T16:07:43.145992
2403.0,16332.0,2072.0,802.0,-23692.0,-11336.0,9893.0,0,0,0,NONE,0,2019-06-14T16:07:43.739603
2389.0,16378.0,2083.0,867.0,-23673.0,-11314.0,9895.0,0,0,0,NONE,0,2019-06-14T16:07:44.282043
2455.0,16399.0,2061.0,841.0,-23717.0,-11299.0,9956.0,0,0,0,NONE,0,2019-06-14T16:07:44.877018
2311.0,16377.0,2024.0,848.0,-23750.0,-11357.0,9990.0,0,0,0,NONE,0,2019-06-14T16:07:45.416918
2422.0,16367.0,2119.0,875.0,-23736.0,-11390.0,10017.0,0,0,0,NONE,0,2019-06-14T16:07:46.013534
2363.0,16407.0,2016.0,866.0,-23773.0,-11403.0,10071.0,0,0,0,NONE,0,2019-06-14T16:07:46.552770
2347.0,16417.0,2040.0,872.0,-23767.0,-11446.0,10057.0,0,0,0,NONE,0,2019-06-14T16:07:47.150199
2359.0,16434.0,2062.0,825.0,-23848.0,-11530.0,10069.0,0,0,0,NONE,0,2019-06-14T16:07:47.686942
2301.0,16421.0,2060.0,864.0,-23877.0,-11547.0,10049.0,0,0,0,NONE,0,2019-06-14T16:07:48.286827
2347.0,16466.0,1997.0,877.0,-23910.0,-11604.0,10181.0,0,0,0,NONE,0,2019-06-14T16:07:48.822378
