seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-394.0,8202.0,1354.0,146.0,174.0,-671.0,805.0,0,0,0,NONE,0,2019-06-14T14:39:22.586687
-482.0,8206.0,1323.0,124.0,160.0,-670.0,771.0,0,0,0,NONE,0,2019-06-14T14:39:23.115828
-451.0,8215.0,1323.0,212.0,242.0,-578.0,769.0,0,0,0,NONE,0,2019-06-14T14:39:23.684178
-467.0,8161.0,1340.0,172.0,391.0,-586.0,766.0,0,0,0,NONE,0,2019-06-14T14:39:24.251467
-549.0,8126.0,1334.0,272.0,417.0,-539.0,767.0,0,0,0,NONE,0,2019-06-14T14:39:24.817380
-565.0,8115.0,1360.0,196.0,500.0,-483.0,703.0,0,0,0,NONE,0,2019-06-14T14:39:25.385019
-571.0,8092.0,1302.0,263.0,552.0,-458.0,708.0,0,0,0,NONE,0,2019-06-14T14:39:25.953516
-635.0,8055.0,1324.0,205.0,618.0,-420.0,682.0,0,0,0,NONE,0,2019-06-14T14:39:26.520532
-645.0,7983.0,1315.0,230.0,680.0,-447.0,711.0,0,0,0,NONE,0,2019-06-14T14:39:27.087614
-624.0,8010.0,1300.0,288.0,748.0,-430.0,655.0,0,0,0,NONE,0,2019-06-14T14:39:27.654190
-712.0,7944.0,1335.0,324.0,809.0,-333.0,649.0,0,0,0,NONE,0,2019-06-14T14:39:28.222313
-648.0,7977.0,1311.0,349.0,951.0,-331.0,686.0,0,0,0,NONE,0,2019-06-14T14:39:28.789837
-727.0,7920.0,1323.0,310.0,977.0,-335.0,640.0,0,0,0,NONE,0,2019-06-14T14:39:29.356748
-744.0,7861.0,1306.0,354.0,1036.0,-328.0,634.0,0,0,0,NONE,0,2019-06-14T14:39:29.923982
-774.0,7825.0,1303.0,329.0,1053.0,-323.0,626.0,0,0,0,NONE,0,2019-06-14T14:39:30.491245
-860.0,7868.0,1278.0,407.0,1211.0,-263.0,577.0,0,0,0,NONE,0,2019-06-14T14:39:31.058479
-820.0,7845.0,1330.0,408.0,1305.0,-240.0,617.0,0,0,0,NONE,0,2019-06-14T14:39:31.625690
-899.0,7814.0,1309.0,373.0,1356.0,-169.0,563.0,0,0,0,NONE,0,2019-06-14T14:39:32.192871
-915.0,7775.0,1326.0,423.0,1429.0,-210.0,495.0,0,0,0,NONE,0,2019-06-14T14:39:32.760076
-868.0,7710.0,1271.0,421.0,1517.0,-96.0,584.0,0,0,0,NONE,0,2019-06-14T14:39:33.326785
