seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4836.0,-2225.0,4243.0,-5098.0,19269.0,11384.0,-13938.0,0,0,0,NONE,0,2019-06-14T14:29:04.658029
-4843.0,-2223.0,4319.0,-5078.0,19279.0,11379.0,-13965.0,0,0,0,NONE,0,2019-06-14T14:29:05.201875
-4832.0,-2223.0,4304.0,-5121.0,19271.0,11339.0,-13910.0,0,0,0,NONE,0,2019-06-14T14:29:05.794157
-4854.0,-2234.0,4290.0,-5088.0,19255.0,11364.0,-13878.0,0,0,0,NONE,0,2019-06-14T14:29:06.337467
-4825.0,-2250.0,4320.0,-5073.0,19273.0,11355.0,-13924.0,0,0,0,NONE,0,2019-06-14T14:29:06.930759
-4788.0,-2300.0,4310.0,-5186.0,19283.0,11349.0,-13865.0,0,0,0,NONE,0,2019-06-14T14:29:07.472250
-4783.0,-2208.0,4304.0,-5112.0,19314.0,11368.0,-13939.0,0,0,0,NONE,0,2019-06-14T14:29:08.067468
-4797.0,-2211.0,4328.0,-5198.0,19367.0,11334.0,-13880.0,0,0,0,NONE,0,2019-06-14T14:29:08.608146
-4824.0,-2268.0,4328.0,-5094.0,19278.0,11326.0,-13887.0,0,0,0,NONE,0,2019-06-14T14:29:09.203644
-4820.0,-2218.0,4361.0,-5127.0,19331.0,11379.0,-13902.0,0,0,0,NONE,0,2019-06-14T14:29:09.742690
-4846.0,-2261.0,4293.0,-5171.0,19368.0,11385.0,-13915.0,0,0,0,NONE,0,2019-06-14T14:29:10.339947
-4832.0,-2317.0,4290.0,-5212.0,19330.0,11395.0,-13878.0,0,0,0,NONE,0,2019-06-14T14:29:10.879082
-4835.0,-2274.0,4322.0,-5198.0,19383.0,11375.0,-13917.0,0,0,0,NONE,0,2019-06-14T14:29:11.475604
-4824.0,-2246.0,4377.0,-5147.0,19443.0,11466.0,-13911.0,0,0,0,NONE,0,2019-06-14T14:29:12.014492
-4817.0,-2266.0,4358.0,-5206.0,19394.0,11391.0,-13916.0,0,0,0,NONE,0,2019-06-14T14:29:12.612604
-4866.0,-2271.0,4337.0,-5179.0,19437.0,11432.0,-13913.0,0,0,0,NONE,0,2019-06-14T14:29:13.149924
-4845.0,-2254.0,4367.0,-5213.0,19420.0,11436.0,-13935.0,0,0,0,NONE,0,2019-06-14T14:29:13.748602
-4809.0,-2273.0,4330.0,-5201.0,19474.0,11420.0,-13989.0,0,0,0,NONE,0,2019-06-14T14:29:14.285419
-4817.0,-2241.0,4338.0,-5263.0,19445.0,11481.0,-13928.0,0,0,0,NONE,0,2019-06-14T14:29:14.885010
-4749.0,-2254.0,4385.0,-5229.0,19423.0,11459.0,-13937.0,0,0,0,NONE,0,2019-06-14T14:29:15.419581
