seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6642.0,-199.0,1920.0,-4254.0,9192.0,13821.0,-9379.0,0,0,0,NONE,0,2019-06-14T15:18:34.011022
-6634.0,-154.0,1840.0,-4246.0,9138.0,13810.0,-9383.0,0,0,0,NONE,0,2019-06-14T15:18:34.580021
-6631.0,-206.0,1899.0,-4285.0,9223.0,13750.0,-9428.0,0,0,0,NONE,0,2019-06-14T15:18:35.147998
-6644.0,-190.0,1812.0,-4330.0,9177.0,13855.0,-9358.0,0,0,0,NONE,0,2019-06-14T15:18:35.716195
-6585.0,-145.0,1881.0,-4293.0,9173.0,13848.0,-9420.0,0,0,0,NONE,0,2019-06-14T15:18:36.283489
-6575.0,-163.0,1857.0,-4259.0,9207.0,13867.0,-9446.0,0,0,0,NONE,0,2019-06-14T15:18:36.850818
-6577.0,-228.0,1835.0,-4294.0,9226.0,13888.0,-9412.0,0,0,0,NONE,0,2019-06-14T15:18:37.418794
-6585.0,-178.0,1870.0,-4352.0,9241.0,13875.0,-9436.0,0,0,0,NONE,0,2019-06-14T15:18:37.986736
-6610.0,-185.0,1815.0,-4324.0,9209.0,13826.0,-9444.0,0,0,0,NONE,0,2019-06-14T15:18:38.553464
-6653.0,-220.0,1799.0,-4257.0,9199.0,13892.0,-9483.0,0,0,0,NONE,0,2019-06-14T15:18:39.122051
-6601.0,-202.0,1838.0,-4268.0,9193.0,13863.0,-9488.0,0,0,0,NONE,0,2019-06-14T15:18:39.689973
-6591.0,-285.0,1832.0,-4272.0,9243.0,13880.0,-9492.0,0,0,0,NONE,0,2019-06-14T15:18:40.258576
-6622.0,-186.0,1810.0,-4314.0,9226.0,13902.0,-9494.0,0,0,0,NONE,0,2019-06-14T15:18:40.826062
-6611.0,-214.0,1865.0,-4285.0,9258.0,13929.0,-9475.0,0,0,0,NONE,0,2019-06-14T15:18:41.394506
-6644.0,-235.0,1889.0,-4262.0,9228.0,13882.0,-9596.0,0,0,0,NONE,0,2019-06-14T15:18:41.960391
-6601.0,-222.0,1802.0,-4299.0,9244.0,13981.0,-9534.0,0,0,0,NONE,0,2019-06-14T15:18:42.528884
-6678.0,-218.0,1852.0,-4248.0,9282.0,13954.0,-9535.0,0,0,0,NONE,0,2019-06-14T15:18:43.097281
-6656.0,-227.0,1763.0,-4312.0,9220.0,13995.0,-9553.0,0,0,0,NONE,0,2019-06-14T15:18:43.664968
-6691.0,-232.0,1865.0,-4278.0,9279.0,13902.0,-9595.0,0,0,0,NONE,0,2019-06-14T15:18:44.231630
-6574.0,-217.0,1795.0,-4314.0,9270.0,13907.0,-9583.0,0,0,0,NONE,0,2019-06-14T15:18:44.800498
