seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4961.0,5407.0,3718.0,-440.0,-350.0,-2095.0,-640.0,0,0,0,NONE,0,2019-06-14T16:19:49.742977
-5033.0,5477.0,3735.0,-384.0,-356.0,-2136.0,-582.0,0,0,0,NONE,0,2019-06-14T16:19:50.337098
-4989.0,5466.0,3759.0,-408.0,-379.0,-2129.0,-663.0,0,0,0,NONE,0,2019-06-14T16:19:50.880119
-4973.0,5464.0,3747.0,-417.0,-483.0,-2083.0,-637.0,0,0,0,NONE,0,2019-06-14T16:19:51.473892
-5024.0,5436.0,3737.0,-419.0,-380.0,-2115.0,-693.0,0,0,0,NONE,0,2019-06-14T16:19:52.015242
-4997.0,5465.0,3736.0,-408.0,-402.0,-2049.0,-635.0,0,0,0,NONE,0,2019-06-14T16:19:52.610394
-5028.0,5427.0,3749.0,-404.0,-328.0,-2089.0,-673.0,0,0,0,NONE,0,2019-06-14T16:19:53.151938
-5014.0,5477.0,3708.0,-374.0,-366.0,-2094.0,-700.0,0,0,0,NONE,0,2019-06-14T16:19:53.747229
-5034.0,5471.0,3730.0,-426.0,-401.0,-2037.0,-732.0,0,0,0,NONE,0,2019-06-14T16:19:54.287730
-4947.0,5496.0,3695.0,-409.0,-421.0,-2053.0,-704.0,0,0,0,NONE,0,2019-06-14T16:19:54.883560
-4971.0,5470.0,3714.0,-406.0,-420.0,-2049.0,-707.0,0,0,0,NONE,0,2019-06-14T16:19:55.423779
-4964.0,5468.0,3705.0,-327.0,-448.0,-1996.0,-822.0,0,0,0,NONE,0,2019-06-14T16:19:56.020599
-4994.0,5477.0,3694.0,-400.0,-412.0,-1979.0,-800.0,0,0,0,NONE,0,2019-06-14T16:19:56.559242
-4970.0,5447.0,3701.0,-351.0,-425.0,-1990.0,-846.0,0,0,0,NONE,0,2019-06-14T16:19:57.157113
-4948.0,5488.0,3705.0,-391.0,-473.0,-1925.0,-744.0,0,0,0,NONE,0,2019-06-14T16:19:57.695366
-4952.0,5410.0,3748.0,-413.0,-466.0,-2018.0,-760.0,0,0,0,NONE,0,2019-06-14T16:19:58.293751
-4969.0,5453.0,3703.0,-397.0,-419.0,-1928.0,-789.0,0,0,0,NONE,0,2019-06-14T16:19:58.832722
-4946.0,5439.0,3709.0,-374.0,-445.0,-1958.0,-818.0,0,0,0,NONE,0,2019-06-14T16:19:59.430436
-4951.0,5441.0,3721.0,-400.0,-475.0,-2005.0,-813.0,0,0,0,NONE,0,2019-06-14T16:19:59.967682
-4947.0,5511.0,3772.0,-405.0,-529.0,-1906.0,-860.0,0,0,0,NONE,0,2019-06-14T16:20:00.566638
