seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3729.0,5854.0,4344.0,-998.0,-48.0,-2071.0,-1485.0,0,0,0,NONE,0,2019-06-14T16:23:25.602427
-3695.0,5924.0,4381.0,-947.0,-106.0,-2112.0,-1469.0,0,0,0,NONE,0,2019-06-14T16:23:26.170630
-3687.0,5915.0,4353.0,-1033.0,-41.0,-2122.0,-1501.0,0,0,0,NONE,0,2019-06-14T16:23:26.738960
-3643.0,5927.0,4397.0,-1030.0,-21.0,-2198.0,-1584.0,0,0,0,NONE,0,2019-06-14T16:23:27.307193
-3694.0,5927.0,4339.0,-1045.0,-44.0,-2108.0,-1491.0,0,0,0,NONE,0,2019-06-14T16:23:27.874943
-3697.0,5902.0,4339.0,-1066.0,12.0,-2178.0,-1536.0,0,0,0,NONE,0,2019-06-14T16:23:28.443435
-3737.0,5874.0,4365.0,-1020.0,-59.0,-2219.0,-1591.0,0,0,0,NONE,0,2019-06-14T16:23:29.011773
-3669.0,5904.0,4328.0,-1121.0,-28.0,-2191.0,-1541.0,0,0,0,NONE,0,2019-06-14T16:23:29.579529
-3697.0,5829.0,4373.0,-1041.0,-51.0,-2209.0,-1572.0,0,0,0,NONE,0,2019-06-14T16:23:30.148143
-3646.0,5872.0,4418.0,-1097.0,-35.0,-2196.0,-1615.0,0,0,0,NONE,0,2019-06-14T16:23:30.715338
-3686.0,5890.0,4439.0,-1047.0,0.0,-2181.0,-1557.0,0,0,0,NONE,0,2019-06-14T16:23:31.284831
-3680.0,5830.0,4396.0,-1003.0,-84.0,-2201.0,-1637.0,0,0,0,NONE,0,2019-06-14T16:23:31.852028
-3636.0,5817.0,4444.0,-1070.0,-21.0,-2091.0,-1601.0,0,0,0,NONE,0,2019-06-14T16:23:32.421429
-3609.0,5860.0,4375.0,-1024.0,52.0,-2123.0,-1569.0,0,0,0,NONE,0,2019-06-14T16:23:32.989266
-3674.0,5848.0,4401.0,-1034.0,-1.0,-2110.0,-1576.0,0,0,0,NONE,0,2019-06-14T16:23:33.556622
-3649.0,5873.0,4392.0,-1075.0,-1.0,-2098.0,-1604.0,0,0,0,NONE,0,2019-06-14T16:23:34.125390
-3646.0,5906.0,4378.0,-1049.0,28.0,-2168.0,-1610.0,0,0,0,NONE,0,2019-06-14T16:23:34.693521
-3629.0,5879.0,4452.0,-1017.0,-22.0,-2104.0,-1589.0,0,0,0,NONE,0,2019-06-14T16:23:35.261266
-3676.0,5897.0,4355.0,-1007.0,33.0,-2072.0,-1561.0,0,0,0,NONE,0,2019-06-14T16:23:35.828561
-3668.0,5851.0,4434.0,-1073.0,29.0,-2050.0,-1604.0,0,0,0,NONE,0,2019-06-14T16:23:36.396944
