seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3938.0,5842.0,4304.0,-930.0,-410.0,-2226.0,-1104.0,0,0,0,NONE,0,2019-06-14T16:22:06.072655
-3919.0,5741.0,4316.0,-964.0,-388.0,-2222.0,-1099.0,0,0,0,NONE,0,2019-06-14T16:22:06.642705
-3938.0,5830.0,4290.0,-942.0,-412.0,-2198.0,-1059.0,0,0,0,NONE,0,2019-06-14T16:22:07.209738
-3915.0,5849.0,4286.0,-950.0,-353.0,-2140.0,-1124.0,0,0,0,NONE,0,2019-06-14T16:22:07.779708
-3917.0,5805.0,4217.0,-955.0,-424.0,-2107.0,-1130.0,0,0,0,NONE,0,2019-06-14T16:22:08.345651
-3953.0,5848.0,4231.0,-973.0,-309.0,-2188.0,-1054.0,0,0,0,NONE,0,2019-06-14T16:22:08.916250
-3879.0,5756.0,4247.0,-962.0,-350.0,-2214.0,-1054.0,0,0,0,NONE,0,2019-06-14T16:22:09.483228
-3925.0,5811.0,4257.0,-956.0,-386.0,-2218.0,-1052.0,0,0,0,NONE,0,2019-06-14T16:22:10.053296
-3899.0,5763.0,4283.0,-1012.0,-382.0,-2275.0,-1134.0,0,0,0,NONE,0,2019-06-14T16:22:10.616858
-3979.0,5824.0,4229.0,-950.0,-338.0,-2162.0,-1017.0,0,0,0,NONE,0,2019-06-14T16:22:11.190220
-3974.0,5800.0,4226.0,-920.0,-435.0,-2236.0,-1034.0,0,0,0,NONE,0,2019-06-14T16:22:11.755769
-3939.0,5786.0,4333.0,-950.0,-390.0,-2203.0,-1100.0,0,0,0,NONE,0,2019-06-14T16:22:12.326894
-3929.0,5830.0,4296.0,-911.0,-354.0,-2230.0,-1030.0,0,0,0,NONE,0,2019-06-14T16:22:12.889661
-3960.0,5847.0,4289.0,-982.0,-306.0,-2201.0,-1065.0,0,0,0,NONE,0,2019-06-14T16:22:13.463849
-3983.0,5776.0,4271.0,-879.0,-382.0,-2277.0,-1085.0,0,0,0,NONE,0,2019-06-14T16:22:14.025803
-3926.0,5825.0,4350.0,-926.0,-356.0,-2191.0,-1050.0,0,0,0,NONE,0,2019-06-14T16:22:14.600486
-3918.0,5822.0,4298.0,-876.0,-329.0,-2164.0,-1054.0,0,0,0,NONE,0,2019-06-14T16:22:15.161834
-3933.0,5872.0,4268.0,-900.0,-343.0,-2207.0,-1012.0,0,0,0,NONE,0,2019-06-14T16:22:15.737722
-3920.0,5844.0,4261.0,-883.0,-356.0,-2228.0,-1079.0,0,0,0,NONE,0,2019-06-14T16:22:16.297374
-3953.0,5782.0,4259.0,-940.0,-337.0,-2234.0,-1019.0,0,0,0,NONE,0,2019-06-14T16:22:16.875065
