seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3292.0,816.0,2569.0,-6567.0,14314.0,6037.0,-11758.0,0,0,0,NONE,0,2019-06-14T14:49:58.026381
-3271.0,905.0,2557.0,-6567.0,14256.0,5980.0,-11848.0,0,0,0,NONE,0,2019-06-14T14:49:58.594577
-3279.0,835.0,2602.0,-6550.0,14228.0,5906.0,-11761.0,0,0,0,NONE,0,2019-06-14T14:49:59.161730
-3219.0,863.0,2585.0,-6509.0,14227.0,5875.0,-11779.0,0,0,0,NONE,0,2019-06-14T14:49:59.729942
-3255.0,891.0,2614.0,-6436.0,14113.0,5930.0,-11727.0,0,0,0,NONE,0,2019-06-14T14:50:00.298219
-3236.0,913.0,2544.0,-6470.0,14104.0,5951.0,-11672.0,0,0,0,NONE,0,2019-06-14T14:50:00.864842
-3232.0,909.0,2539.0,-6413.0,14029.0,5886.0,-11692.0,0,0,0,NONE,0,2019-06-14T14:50:01.433538
-3185.0,912.0,2593.0,-6475.0,13974.0,5818.0,-11661.0,0,0,0,NONE,0,2019-06-14T14:50:01.999887
-3242.0,887.0,2584.0,-6435.0,13876.0,5799.0,-11617.0,0,0,0,NONE,0,2019-06-14T14:50:02.567668
-3141.0,967.0,2569.0,-6408.0,13951.0,5900.0,-11587.0,0,0,0,NONE,0,2019-06-14T14:50:03.135435
-3098.0,976.0,2625.0,-6326.0,13847.0,5878.0,-11569.0,0,0,0,NONE,0,2019-06-14T14:50:03.702554
-3062.0,1005.0,2547.0,-6357.0,13803.0,5851.0,-11495.0,0,0,0,NONE,0,2019-06-14T14:50:04.270906
-3102.0,1003.0,2620.0,-6368.0,13725.0,5793.0,-11503.0,0,0,0,NONE,0,2019-06-14T14:50:04.838589
-3190.0,953.0,2572.0,-6392.0,13551.0,5594.0,-11478.0,0,0,0,NONE,0,2019-06-14T14:50:05.406574
-3089.0,1066.0,2586.0,-6218.0,13632.0,5607.0,-11361.0,0,0,0,NONE,0,2019-06-14T14:50:05.973875
-2921.0,1153.0,2581.0,-6217.0,13756.0,5753.0,-11252.0,0,0,0,NONE,0,2019-06-14T14:50:06.542918
-2942.0,1140.0,2520.0,-6268.0,13579.0,5648.0,-11213.0,0,0,0,NONE,0,2019-06-14T14:50:07.109994
-2922.0,1089.0,2606.0,-6258.0,13504.0,5478.0,-11206.0,0,0,0,NONE,0,2019-06-14T14:50:07.679155
-2966.0,1141.0,2552.0,-6255.0,13490.0,5440.0,-11217.0,0,0,0,NONE,0,2019-06-14T14:50:08.243640
-2967.0,1133.0,2603.0,-6260.0,13412.0,5343.0,-11166.0,0,0,0,NONE,0,2019-06-14T14:50:08.815255
