seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3325.0,5880.0,5046.0,-1887.0,-332.0,-2771.0,-2504.0,0,0,0,NONE,0,2019-06-14T16:27:46.905609
-3332.0,5919.0,5090.0,-1910.0,-279.0,-2726.0,-2577.0,0,0,0,NONE,0,2019-06-14T16:27:47.476318
-3358.0,5895.0,5124.0,-1818.0,-326.0,-2694.0,-2550.0,0,0,0,NONE,0,2019-06-14T16:27:48.041510
-3350.0,5939.0,5039.0,-1874.0,-305.0,-2710.0,-2568.0,0,0,0,NONE,0,2019-06-14T16:27:48.613673
-3355.0,5899.0,5012.0,-1801.0,-326.0,-2728.0,-2595.0,0,0,0,NONE,0,2019-06-14T16:27:49.178827
-3338.0,5909.0,5033.0,-1800.0,-398.0,-2695.0,-2551.0,0,0,0,NONE,0,2019-06-14T16:27:49.750295
-3429.0,5928.0,5058.0,-1865.0,-399.0,-2706.0,-2665.0,0,0,0,NONE,0,2019-06-14T16:27:50.315400
-3368.0,5961.0,5076.0,-1786.0,-367.0,-2702.0,-2635.0,0,0,0,NONE,0,2019-06-14T16:27:50.887210
-3365.0,5961.0,5038.0,-1798.0,-441.0,-2685.0,-2588.0,0,0,0,NONE,0,2019-06-14T16:27:51.450875
-3437.0,5995.0,5085.0,-1801.0,-477.0,-2700.0,-2637.0,0,0,0,NONE,0,2019-06-14T16:27:52.023732
-3474.0,5905.0,4978.0,-1678.0,-428.0,-2732.0,-2744.0,0,0,0,NONE,0,2019-06-14T16:27:52.587651
-3462.0,5985.0,5051.0,-1738.0,-463.0,-2716.0,-2752.0,0,0,0,NONE,0,2019-06-14T16:27:53.161516
-3409.0,5945.0,5069.0,-1725.0,-478.0,-2680.0,-2721.0,0,0,0,NONE,0,2019-06-14T16:27:53.722120
-3472.0,5979.0,5014.0,-1800.0,-598.0,-2763.0,-2783.0,0,0,0,NONE,0,2019-06-14T16:27:54.298843
-3473.0,5969.0,5009.0,-1697.0,-475.0,-2751.0,-2781.0,0,0,0,NONE,0,2019-06-14T16:27:54.859863
-3486.0,6010.0,5006.0,-1702.0,-515.0,-2667.0,-2807.0,0,0,0,NONE,0,2019-06-14T16:27:55.435289
-3507.0,5973.0,5022.0,-1684.0,-546.0,-2696.0,-2827.0,0,0,0,NONE,0,2019-06-14T16:27:55.994346
-3501.0,6000.0,4985.0,-1654.0,-564.0,-2651.0,-2850.0,0,0,0,NONE,0,2019-06-14T16:27:56.572107
-3514.0,6024.0,4973.0,-1639.0,-533.0,-2614.0,-2808.0,0,0,0,NONE,0,2019-06-14T16:27:57.130870
-3565.0,6012.0,5006.0,-1606.0,-567.0,-2704.0,-2854.0,0,0,0,NONE,0,2019-06-14T16:27:57.708688
