seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4437.0,-4854.0,1864.0,1875.0,6156.0,1994.0,683.0,0,0,0,NONE,0,2019-06-14T12:57:42.720384
-4487.0,-4892.0,1820.0,1793.0,6171.0,1885.0,620.0,0,0,0,NONE,0,2019-06-14T12:57:43.248200
-4503.0,-4916.0,1878.0,1845.0,6161.0,1878.0,603.0,0,0,0,NONE,0,2019-06-14T12:57:43.856796
-4444.0,-4901.0,1861.0,1785.0,6196.0,1876.0,630.0,0,0,0,NONE,0,2019-06-14T12:57:44.383626
-4491.0,-4924.0,1868.0,1810.0,6170.0,1895.0,558.0,0,0,0,NONE,0,2019-06-14T12:57:44.992789
-4423.0,-4897.0,1876.0,1850.0,6126.0,1967.0,612.0,0,0,0,NONE,0,2019-06-14T12:57:45.518715
-4445.0,-4863.0,1822.0,1801.0,6235.0,1939.0,622.0,0,0,0,NONE,0,2019-06-14T12:57:46.086362
-4392.0,-4951.0,1896.0,1777.0,6191.0,1952.0,600.0,0,0,0,NONE,0,2019-06-14T12:57:46.653950
-4405.0,-4963.0,1910.0,1773.0,6189.0,2014.0,562.0,0,0,0,NONE,0,2019-06-14T12:57:47.265036
-4401.0,-4929.0,1877.0,1713.0,6183.0,1912.0,576.0,0,0,0,NONE,0,2019-06-14T12:57:47.789084
-4396.0,-4913.0,1906.0,1761.0,6237.0,1961.0,546.0,0,0,0,NONE,0,2019-06-14T12:57:48.401245
-4402.0,-4913.0,1902.0,1750.0,6161.0,1930.0,571.0,0,0,0,NONE,0,2019-06-14T12:57:48.924516
-4363.0,-4891.0,1915.0,1671.0,6208.0,1910.0,567.0,0,0,0,NONE,0,2019-06-14T12:57:49.492316
-4411.0,-4949.0,1919.0,1682.0,6211.0,1881.0,630.0,0,0,0,NONE,0,2019-06-14T12:57:50.059169
-4436.0,-4907.0,1952.0,1674.0,6224.0,1914.0,570.0,0,0,0,NONE,0,2019-06-14T12:57:50.627315
-4432.0,-4944.0,1945.0,1706.0,6259.0,1874.0,535.0,0,0,0,NONE,0,2019-06-14T12:57:51.194934
-4400.0,-4948.0,1912.0,1647.0,6241.0,1926.0,541.0,0,0,0,NONE,0,2019-06-14T12:57:51.762554
-4391.0,-5007.0,1939.0,1723.0,6244.0,1866.0,532.0,0,0,0,NONE,0,2019-06-14T12:57:52.330247
-4370.0,-4990.0,1947.0,1643.0,6190.0,1851.0,478.0,0,0,0,NONE,0,2019-06-14T12:57:52.897866
-4420.0,-4970.0,2020.0,1611.0,6243.0,1905.0,514.0,0,0,0,NONE,0,2019-06-14T12:57:53.465371
