seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2344.0,2145.0,-2368.0,4734.0,-334.0,-4258.0,6312.0,0,0,0,NONE,0,2019-06-14T13:10:57.241000
-2403.0,2091.0,-2404.0,4707.0,-238.0,-4227.0,6388.0,0,0,0,NONE,0,2019-06-14T13:10:57.836139
-2420.0,2043.0,-2356.0,4715.0,-225.0,-4199.0,6353.0,0,0,0,NONE,0,2019-06-14T13:10:58.376440
-2392.0,2055.0,-2378.0,4733.0,-281.0,-4223.0,6359.0,0,0,0,NONE,0,2019-06-14T13:10:58.971908
-2398.0,2095.0,-2343.0,4658.0,-210.0,-4186.0,6350.0,0,0,0,NONE,0,2019-06-14T13:10:59.511661
-2388.0,2018.0,-2324.0,4674.0,-228.0,-4276.0,6367.0,0,0,0,NONE,0,2019-06-14T13:11:00.107547
-2358.0,1985.0,-2313.0,4654.0,-153.0,-4205.0,6319.0,0,0,0,NONE,0,2019-06-14T13:11:00.646202
-2331.0,1915.0,-2271.0,4632.0,-42.0,-4158.0,6376.0,0,0,0,NONE,0,2019-06-14T13:11:01.243529
-2360.0,1968.0,-2315.0,4654.0,-8.0,-4158.0,6333.0,0,0,0,NONE,0,2019-06-14T13:11:01.781048
-2365.0,1974.0,-2321.0,4653.0,68.0,-4119.0,6369.0,0,0,0,NONE,0,2019-06-14T13:11:02.379277
-2334.0,1910.0,-2213.0,4650.0,32.0,-4154.0,6318.0,0,0,0,NONE,0,2019-06-14T13:11:02.915946
-2347.0,1859.0,-2189.0,4618.0,86.0,-4150.0,6312.0,0,0,0,NONE,0,2019-06-14T13:11:03.515232
-2404.0,1898.0,-2195.0,4596.0,58.0,-4163.0,6379.0,0,0,0,NONE,0,2019-06-14T13:11:04.050943
-2361.0,1837.0,-2186.0,4616.0,116.0,-4070.0,6356.0,0,0,0,NONE,0,2019-06-14T13:11:04.651077
-2396.0,1823.0,-2133.0,4600.0,137.0,-4136.0,6338.0,0,0,0,NONE,0,2019-06-14T13:11:05.185837
-2319.0,1773.0,-2164.0,4554.0,233.0,-4058.0,6283.0,0,0,0,NONE,0,2019-06-14T13:11:05.786904
-2337.0,1724.0,-2091.0,4517.0,184.0,-4047.0,6291.0,0,0,0,NONE,0,2019-06-14T13:11:06.320687
-2309.0,1722.0,-2107.0,4537.0,258.0,-4057.0,6332.0,0,0,0,NONE,0,2019-06-14T13:11:06.922671
-2301.0,1672.0,-2090.0,4480.0,266.0,-4059.0,6357.0,0,0,0,NONE,0,2019-06-14T13:11:07.455551
-3904.0,-3620.0,1065.0,1765.0,5174.0,467.0,691.0,0,0,0,NONE,0,2019-06-14T13:15:18.209454
