seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3007.0,5889.0,4963.0,-1957.0,-354.0,-2807.0,-2965.0,0,0,0,NONE,0,2019-06-14T16:53:59.206459
-3011.0,5934.0,4987.0,-2002.0,-452.0,-2819.0,-2949.0,0,0,0,NONE,0,2019-06-14T16:53:59.774366
-2997.0,5931.0,4950.0,-1925.0,-328.0,-2784.0,-2893.0,0,0,0,NONE,0,2019-06-14T16:54:00.343397
-3012.0,5949.0,4944.0,-1945.0,-466.0,-2760.0,-3011.0,0,0,0,NONE,0,2019-06-14T16:54:00.911319
-3010.0,5907.0,5018.0,-1950.0,-404.0,-2755.0,-2957.0,0,0,0,NONE,0,2019-06-14T16:54:01.479530
-2989.0,5918.0,4960.0,-2008.0,-454.0,-2787.0,-2989.0,0,0,0,NONE,0,2019-06-14T16:54:02.047473
-2960.0,5973.0,4992.0,-1949.0,-364.0,-2723.0,-2933.0,0,0,0,NONE,0,2019-06-14T16:54:02.615807
-2966.0,5901.0,4951.0,-1957.0,-392.0,-2765.0,-2998.0,0,0,0,NONE,0,2019-06-14T16:54:03.184351
-3001.0,6024.0,5010.0,-2030.0,-388.0,-2805.0,-2951.0,0,0,0,NONE,0,2019-06-14T16:54:03.752684
-2980.0,5980.0,5000.0,-1953.0,-357.0,-2781.0,-2982.0,0,0,0,NONE,0,2019-06-14T16:54:04.321067
-2997.0,5925.0,4973.0,-1977.0,-414.0,-2802.0,-2979.0,0,0,0,NONE,0,2019-06-14T16:54:04.887594
-2963.0,5972.0,4963.0,-1958.0,-387.0,-2821.0,-2954.0,0,0,0,NONE,0,2019-06-14T16:54:05.458501
-3022.0,5950.0,5008.0,-2003.0,-394.0,-2794.0,-2907.0,0,0,0,NONE,0,2019-06-14T16:54:06.024379
-3014.0,5985.0,4966.0,-1972.0,-383.0,-2746.0,-2907.0,0,0,0,NONE,0,2019-06-14T16:54:06.595775
-3029.0,5968.0,4996.0,-2032.0,-375.0,-2817.0,-2941.0,0,0,0,NONE,0,2019-06-14T16:54:07.159920
-2949.0,5997.0,4974.0,-2016.0,-401.0,-2732.0,-2926.0,0,0,0,NONE,0,2019-06-14T16:54:07.732073
-2979.0,5940.0,4998.0,-1994.0,-445.0,-2847.0,-2862.0,0,0,0,NONE,0,2019-06-14T16:54:08.296935
-2998.0,5978.0,4955.0,-2020.0,-386.0,-2741.0,-2886.0,0,0,0,NONE,0,2019-06-14T16:54:08.869347
-2966.0,6024.0,5019.0,-2014.0,-487.0,-2717.0,-2874.0,0,0,0,NONE,0,2019-06-14T16:54:09.433144
-2990.0,5969.0,4976.0,-1996.0,-377.0,-2746.0,-2796.0,0,0,0,NONE,0,2019-06-14T16:54:10.008031
