seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5242.0,-678.0,1621.0,-5534.0,10023.0,15022.0,-14274.0,0,0,0,NONE,0,2019-06-14T15:26:31.024962
-5273.0,-705.0,1596.0,-5514.0,9927.0,14991.0,-14291.0,0,0,0,NONE,0,2019-06-14T15:26:31.590348
-5330.0,-689.0,1645.0,-5539.0,9971.0,15036.0,-14278.0,0,0,0,NONE,0,2019-06-14T15:26:32.162349
-5290.0,-680.0,1615.0,-5456.0,10008.0,14990.0,-14296.0,0,0,0,NONE,0,2019-06-14T15:26:32.727096
-5294.0,-689.0,1635.0,-5495.0,9967.0,15037.0,-14307.0,0,0,0,NONE,0,2019-06-14T15:26:33.299174
-5316.0,-634.0,1655.0,-5534.0,9937.0,15084.0,-14290.0,0,0,0,NONE,0,2019-06-14T15:26:33.862266
-5365.0,-664.0,1634.0,-5542.0,9985.0,14962.0,-14341.0,0,0,0,NONE,0,2019-06-14T15:26:34.435863
-5319.0,-586.0,1657.0,-5561.0,9941.0,15047.0,-14317.0,0,0,0,NONE,0,2019-06-14T15:26:34.997884
-5312.0,-703.0,1614.0,-5509.0,10019.0,14986.0,-14283.0,0,0,0,NONE,0,2019-06-14T15:26:35.572630
-5308.0,-645.0,1693.0,-5602.0,10011.0,15015.0,-14307.0,0,0,0,NONE,0,2019-06-14T15:26:36.133397
-5244.0,-684.0,1680.0,-5521.0,10035.0,15009.0,-14327.0,0,0,0,NONE,0,2019-06-14T15:26:36.709684
-5295.0,-635.0,1690.0,-5556.0,9998.0,15012.0,-14277.0,0,0,0,NONE,0,2019-06-14T15:26:37.270504
-5334.0,-687.0,1651.0,-5543.0,9945.0,15071.0,-14358.0,0,0,0,NONE,0,2019-06-14T15:26:37.846006
-5300.0,-654.0,1627.0,-5553.0,9993.0,15037.0,-14370.0,0,0,0,NONE,0,2019-06-14T15:26:38.406848
-5296.0,-632.0,1724.0,-5508.0,10012.0,15003.0,-14329.0,0,0,0,NONE,0,2019-06-14T15:26:38.982486
-5322.0,-643.0,1686.0,-5558.0,10009.0,14946.0,-14365.0,0,0,0,NONE,0,2019-06-14T15:26:39.543375
-5324.0,-588.0,1678.0,-5533.0,9961.0,15062.0,-14350.0,0,0,0,NONE,0,2019-06-14T15:26:40.119418
-5323.0,-596.0,1707.0,-5571.0,10000.0,15039.0,-14362.0,0,0,0,NONE,0,2019-06-14T15:26:40.677432
-5347.0,-648.0,1675.0,-5518.0,10053.0,15080.0,-14376.0,0,0,0,NONE,0,2019-06-14T15:26:41.256336
-5329.0,-664.0,1673.0,-5539.0,10009.0,15108.0,-14417.0,0,0,0,NONE,0,2019-06-14T15:26:41.813470
