seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6857.0,-481.0,1437.0,-4601.0,8930.0,14389.0,-11052.0,0,0,0,NONE,0,2019-06-14T15:20:04.869312
-6835.0,-459.0,1432.0,-4551.0,8961.0,14385.0,-11078.0,0,0,0,NONE,0,2019-06-14T15:20:05.421310
-6825.0,-476.0,1473.0,-4611.0,8999.0,14427.0,-11129.0,0,0,0,NONE,0,2019-06-14T15:20:06.006434
-6765.0,-462.0,1461.0,-4534.0,8984.0,14388.0,-11043.0,0,0,0,NONE,0,2019-06-14T15:20:06.557680
-6851.0,-482.0,1464.0,-4547.0,8918.0,14479.0,-11051.0,0,0,0,NONE,0,2019-06-14T15:20:07.142713
-6808.0,-482.0,1431.0,-4502.0,8912.0,14406.0,-11127.0,0,0,0,NONE,0,2019-06-14T15:20:07.693144
-6832.0,-467.0,1419.0,-4516.0,8913.0,14489.0,-11088.0,0,0,0,NONE,0,2019-06-14T15:20:08.280127
-6854.0,-497.0,1388.0,-4467.0,8945.0,14486.0,-11093.0,0,0,0,NONE,0,2019-06-14T15:20:08.828250
-6820.0,-434.0,1416.0,-4530.0,8965.0,14459.0,-11095.0,0,0,0,NONE,0,2019-06-14T15:20:09.416708
-6892.0,-467.0,1457.0,-4485.0,8912.0,14525.0,-11089.0,0,0,0,NONE,0,2019-06-14T15:20:09.964311
-6846.0,-400.0,1410.0,-4481.0,8937.0,14512.0,-11115.0,0,0,0,NONE,0,2019-06-14T15:20:10.553275
-6893.0,-483.0,1435.0,-4464.0,8914.0,14577.0,-11139.0,0,0,0,NONE,0,2019-06-14T15:20:11.099892
-6884.0,-463.0,1398.0,-4462.0,8925.0,14537.0,-11190.0,0,0,0,NONE,0,2019-06-14T15:20:11.689283
-6853.0,-464.0,1464.0,-4430.0,8931.0,14610.0,-11126.0,0,0,0,NONE,0,2019-06-14T15:20:12.235673
-6887.0,-382.0,1403.0,-4483.0,8932.0,14620.0,-11180.0,0,0,0,NONE,0,2019-06-14T15:20:12.826559
-6923.0,-484.0,1438.0,-4403.0,8928.0,14616.0,-11112.0,0,0,0,NONE,0,2019-06-14T15:20:13.371889
-6898.0,-459.0,1474.0,-4408.0,8893.0,14580.0,-11087.0,0,0,0,NONE,0,2019-06-14T15:20:13.962219
-6877.0,-463.0,1434.0,-4334.0,8941.0,14611.0,-11144.0,0,0,0,NONE,0,2019-06-14T15:20:14.506645
-6912.0,-401.0,1326.0,-4431.0,8953.0,14684.0,-11160.0,0,0,0,NONE,0,2019-06-14T15:20:15.098543
-6952.0,-461.0,1364.0,-4387.0,8895.0,14678.0,-11168.0,0,0,0,NONE,0,2019-06-14T15:20:15.642797
