seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3731.0,4485.0,2573.0,256.0,9115.0,3644.0,-2260.0,0,0,0,NONE,0,2019-06-14T14:40:53.312009
-3707.0,4484.0,2551.0,214.0,9124.0,3640.0,-2239.0,0,0,0,NONE,0,2019-06-14T14:40:53.880740
-3732.0,4467.0,2564.0,142.0,9148.0,3670.0,-2270.0,0,0,0,NONE,0,2019-06-14T14:40:54.448121
-3736.0,4425.0,2578.0,180.0,9187.0,3607.0,-2287.0,0,0,0,NONE,0,2019-06-14T14:40:55.014814
-3754.0,4388.0,2585.0,209.0,9143.0,3533.0,-2340.0,0,0,0,NONE,0,2019-06-14T14:40:55.582384
-3776.0,4333.0,2555.0,145.0,9264.0,3680.0,-2361.0,0,0,0,NONE,0,2019-06-14T14:40:56.150407
-3766.0,4344.0,2620.0,202.0,9317.0,3658.0,-2330.0,0,0,0,NONE,0,2019-06-14T14:40:56.717522
-3789.0,4347.0,2603.0,269.0,9393.0,3745.0,-2393.0,0,0,0,NONE,0,2019-06-14T14:40:57.284746
-3741.0,4316.0,2616.0,254.0,9417.0,3662.0,-2465.0,0,0,0,NONE,0,2019-06-14T14:40:57.852123
-3826.0,4189.0,2580.0,153.0,9441.0,3653.0,-2505.0,0,0,0,NONE,0,2019-06-14T14:40:58.419510
-3855.0,4286.0,2581.0,193.0,9488.0,3772.0,-2443.0,0,0,0,NONE,0,2019-06-14T14:40:58.986884
-3855.0,4216.0,2607.0,192.0,9573.0,3777.0,-2518.0,0,0,0,NONE,0,2019-06-14T14:40:59.554172
-3814.0,4222.0,2639.0,159.0,9545.0,3759.0,-2567.0,0,0,0,NONE,0,2019-06-14T14:41:00.121512
-3806.0,4155.0,2648.0,153.0,9571.0,3741.0,-2586.0,0,0,0,NONE,0,2019-06-14T14:41:00.688738
-3858.0,4174.0,2664.0,172.0,9607.0,3781.0,-2591.0,0,0,0,NONE,0,2019-06-14T14:41:01.255945
-3923.0,4087.0,2670.0,99.0,9690.0,3757.0,-2616.0,0,0,0,NONE,0,2019-06-14T14:41:01.823456
-3919.0,4090.0,2658.0,168.0,9710.0,3775.0,-2697.0,0,0,0,NONE,0,2019-06-14T14:41:02.390588
-3969.0,4069.0,2711.0,197.0,9737.0,3816.0,-2683.0,0,0,0,NONE,0,2019-06-14T14:41:02.956857
-4022.0,4031.0,2749.0,163.0,9759.0,3847.0,-2717.0,0,0,0,NONE,0,2019-06-14T14:41:03.525172
-4007.0,4026.0,2745.0,189.0,9777.0,3849.0,-2760.0,0,0,0,NONE,0,2019-06-14T14:41:04.093377
