seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3968.0,-4194.0,3533.0,1590.0,3585.0,2356.0,2278.0,0,0,0,NONE,0,2019-06-14T12:19:34.281049
-3976.0,-4155.0,3513.0,1652.0,3583.0,2430.0,2244.0,0,0,0,NONE,0,2019-06-14T12:19:34.849015
-3951.0,-4225.0,3530.0,1612.0,3535.0,2419.0,2207.0,0,0,0,NONE,0,2019-06-14T12:19:35.416349
-3943.0,-4178.0,3479.0,1650.0,3669.0,2439.0,2249.0,0,0,0,NONE,0,2019-06-14T12:19:35.984065
-3943.0,-4123.0,3503.0,1633.0,3717.0,2414.0,2191.0,0,0,0,NONE,0,2019-06-14T12:19:36.551717
-3944.0,-4205.0,3503.0,1631.0,3669.0,2467.0,2170.0,0,0,0,NONE,0,2019-06-14T12:19:37.119067
-3954.0,-4196.0,3510.0,1648.0,3594.0,2491.0,2169.0,0,0,0,NONE,0,2019-06-14T12:19:37.686667
-4006.0,-4210.0,3460.0,1634.0,3598.0,2426.0,2193.0,0,0,0,NONE,0,2019-06-14T12:19:38.253978
-4000.0,-4218.0,3505.0,1679.0,3577.0,2507.0,2139.0,0,0,0,NONE,0,2019-06-14T12:19:38.821714
-3960.0,-4234.0,3506.0,1627.0,3640.0,2541.0,2120.0,0,0,0,NONE,0,2019-06-14T12:19:39.389403
-3975.0,-4129.0,3457.0,1605.0,3645.0,2532.0,2118.0,0,0,0,NONE,0,2019-06-14T12:19:39.956796
-3977.0,-4216.0,3450.0,1634.0,3551.0,2550.0,2079.0,0,0,0,NONE,0,2019-06-14T12:19:40.525035
-3957.0,-4240.0,3470.0,1654.0,3610.0,2522.0,2049.0,0,0,0,NONE,0,2019-06-14T12:19:41.091605
-3943.0,-4268.0,3471.0,1652.0,3650.0,2566.0,2092.0,0,0,0,NONE,0,2019-06-14T12:19:41.661120
-3968.0,-4239.0,3446.0,1634.0,3609.0,2539.0,2028.0,0,0,0,NONE,0,2019-06-14T12:19:42.226744
-3961.0,-4237.0,3440.0,1676.0,3658.0,2565.0,2029.0,0,0,0,NONE,0,2019-06-14T12:19:42.797315
-4042.0,-4230.0,3444.0,1618.0,3665.0,2618.0,1951.0,0,0,0,NONE,0,2019-06-14T12:19:43.361876
-3989.0,-4225.0,3509.0,1620.0,3638.0,2608.0,1970.0,0,0,0,NONE,0,2019-06-14T12:19:43.933350
-3996.0,-4247.0,3468.0,1607.0,3638.0,2569.0,2003.0,0,0,0,NONE,0,2019-06-14T12:19:44.496896
-3958.0,-4230.0,3442.0,1603.0,3602.0,2702.0,1986.0,0,0,0,NONE,0,2019-06-14T12:19:45.069777
