seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2833.0,-2745.0,2804.0,3337.0,1669.0,-78.0,5390.0,0,0,0,NONE,0,2019-06-14T12:36:24.596097
-2981.0,-2781.0,2734.0,3372.0,1636.0,-42.0,5383.0,0,0,0,NONE,0,2019-06-14T12:36:25.204492
-2966.0,-2825.0,2765.0,3364.0,1655.0,3.0,5427.0,0,0,0,NONE,0,2019-06-14T12:36:25.731449
-2974.0,-2776.0,2812.0,3283.0,1701.0,-36.0,5430.0,0,0,0,NONE,0,2019-06-14T12:36:26.340716
-2959.0,-2824.0,2815.0,3270.0,1682.0,-16.0,5371.0,0,0,0,NONE,0,2019-06-14T12:36:26.866393
-2994.0,-2812.0,2797.0,3367.0,1699.0,-27.0,5354.0,0,0,0,NONE,0,2019-06-14T12:36:27.433869
-3043.0,-2783.0,2861.0,3329.0,1709.0,10.0,5365.0,0,0,0,NONE,0,2019-06-14T12:36:28.001535
-3001.0,-2805.0,2753.0,3266.0,1807.0,0.0,5341.0,0,0,0,NONE,0,2019-06-14T12:36:28.568757
-3030.0,-2782.0,2778.0,3264.0,1809.0,-13.0,5295.0,0,0,0,NONE,0,2019-06-14T12:36:29.136109
-3043.0,-2848.0,2764.0,3276.0,1781.0,68.0,5273.0,0,0,0,NONE,0,2019-06-14T12:36:29.748380
-3009.0,-2841.0,2783.0,3279.0,1828.0,52.0,5206.0,0,0,0,NONE,0,2019-06-14T12:36:30.271229
-3007.0,-2879.0,2822.0,3239.0,1833.0,15.0,5243.0,0,0,0,NONE,0,2019-06-14T12:36:30.884387
-2983.0,-2908.0,2802.0,3272.0,1780.0,52.0,5267.0,0,0,0,NONE,0,2019-06-14T12:36:31.406201
-3000.0,-2877.0,2800.0,3192.0,1843.0,72.0,5263.0,0,0,0,NONE,0,2019-06-14T12:36:32.020378
-3071.0,-2923.0,2849.0,3231.0,1863.0,87.0,5285.0,0,0,0,NONE,0,2019-06-14T12:36:32.541147
-3027.0,-2858.0,2806.0,3192.0,1934.0,120.0,5250.0,0,0,0,NONE,0,2019-06-14T12:36:33.108340
-3098.0,-2862.0,2847.0,3272.0,1882.0,171.0,5239.0,0,0,0,NONE,0,2019-06-14T12:36:33.676026
-3108.0,-2930.0,2871.0,3180.0,1886.0,135.0,5205.0,0,0,0,NONE,0,2019-06-14T12:36:34.292367
-3094.0,-2951.0,2756.0,3244.0,1873.0,151.0,5216.0,0,0,0,NONE,0,2019-06-14T12:36:34.810971
-3055.0,-2909.0,2825.0,3238.0,1949.0,121.0,5219.0,0,0,0,NONE,0,2019-06-14T12:36:35.378349
