seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3979.0,5805.0,4289.0,-881.0,-311.0,-2201.0,-1036.0,0,0,0,NONE,0,2019-06-14T16:22:17.433358
-3909.0,5801.0,4300.0,-810.0,-346.0,-2166.0,-1084.0,0,0,0,NONE,0,2019-06-14T16:22:18.011558
-3904.0,5789.0,4327.0,-861.0,-391.0,-2200.0,-1051.0,0,0,0,NONE,0,2019-06-14T16:22:18.570920
-3959.0,5764.0,4321.0,-855.0,-477.0,-2174.0,-1040.0,0,0,0,NONE,0,2019-06-14T16:22:19.147582
-3940.0,5870.0,4241.0,-846.0,-350.0,-2171.0,-1084.0,0,0,0,NONE,0,2019-06-14T16:22:19.706552
-3920.0,5830.0,4304.0,-854.0,-341.0,-2136.0,-1027.0,0,0,0,NONE,0,2019-06-14T16:22:20.285120
-3947.0,5866.0,4302.0,-876.0,-407.0,-2139.0,-1068.0,0,0,0,NONE,0,2019-06-14T16:22:20.841729
-3887.0,5876.0,4288.0,-840.0,-391.0,-2151.0,-1090.0,0,0,0,NONE,0,2019-06-14T16:22:21.421832
-3946.0,5849.0,4268.0,-821.0,-402.0,-2162.0,-1131.0,0,0,0,NONE,0,2019-06-14T16:22:21.978729
-4000.0,5865.0,4212.0,-784.0,-387.0,-2171.0,-1100.0,0,0,0,NONE,0,2019-06-14T16:22:22.558048
-3978.0,5913.0,4227.0,-849.0,-375.0,-2143.0,-1090.0,0,0,0,NONE,0,2019-06-14T16:22:23.114541
-3955.0,5833.0,4238.0,-829.0,-379.0,-2175.0,-1129.0,0,0,0,NONE,0,2019-06-14T16:22:23.695101
-3929.0,5816.0,4243.0,-773.0,-383.0,-2171.0,-1152.0,0,0,0,NONE,0,2019-06-14T16:22:24.250112
-3941.0,5857.0,4270.0,-854.0,-354.0,-2181.0,-1113.0,0,0,0,NONE,0,2019-06-14T16:22:24.832135
-3917.0,5918.0,4194.0,-824.0,-376.0,-2172.0,-1139.0,0,0,0,NONE,0,2019-06-14T16:22:25.387180
-3975.0,5851.0,4157.0,-783.0,-356.0,-2171.0,-1207.0,0,0,0,NONE,0,2019-06-14T16:22:25.969041
-3895.0,5872.0,4144.0,-770.0,-373.0,-2116.0,-1121.0,0,0,0,NONE,0,2019-06-14T16:22:26.523259
-3960.0,5828.0,4211.0,-792.0,-397.0,-2147.0,-1176.0,0,0,0,NONE,0,2019-06-14T16:22:27.105566
-3952.0,5827.0,4182.0,-799.0,-367.0,-2077.0,-1190.0,0,0,0,NONE,0,2019-06-14T16:22:27.659712
-3953.0,5835.0,4209.0,-766.0,-374.0,-2129.0,-1201.0,0,0,0,NONE,0,2019-06-14T16:22:28.241878
