seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
2326.0,15706.0,1780.0,505.0,-23127.0,-10681.0,9053.0,0,0,0,NONE,0,2019-06-14T16:07:26.691730
2383.0,15647.0,1853.0,529.0,-23149.0,-10684.0,9038.0,0,0,0,NONE,0,2019-06-14T16:07:27.249616
2373.0,15708.0,1822.0,515.0,-23176.0,-10700.0,9114.0,0,0,0,NONE,0,2019-06-14T16:07:27.828479
2333.0,15671.0,1870.0,574.0,-23184.0,-10635.0,9052.0,0,0,0,NONE,0,2019-06-14T16:07:28.384654
2321.0,15773.0,1921.0,558.0,-23214.0,-10728.0,9110.0,0,0,0,NONE,0,2019-06-14T16:07:28.965302
2314.0,15770.0,1948.0,643.0,-23173.0,-10654.0,9123.0,0,0,0,NONE,0,2019-06-14T16:07:29.520232
2296.0,15744.0,1932.0,638.0,-23244.0,-10717.0,9113.0,0,0,0,NONE,0,2019-06-14T16:07:30.102010
2329.0,15778.0,1980.0,620.0,-23261.0,-10733.0,9155.0,0,0,0,NONE,0,2019-06-14T16:07:30.656167
2301.0,15814.0,1948.0,679.0,-23273.0,-10726.0,9163.0,0,0,0,NONE,0,2019-06-14T16:07:31.237809
2317.0,15852.0,1976.0,662.0,-23356.0,-10766.0,9100.0,0,0,0,NONE,0,2019-06-14T16:07:31.791220
2398.0,15858.0,1993.0,627.0,-23349.0,-10730.0,9214.0,0,0,0,NONE,0,2019-06-14T16:07:32.374730
2368.0,15859.0,2046.0,636.0,-23323.0,-10757.0,9239.0,0,0,0,NONE,0,2019-06-14T16:07:32.925616
2389.0,15898.0,2048.0,574.0,-23387.0,-10742.0,9261.0,0,0,0,NONE,0,2019-06-14T16:07:33.511196
2489.0,15845.0,2060.0,543.0,-23320.0,-10808.0,9267.0,0,0,0,NONE,0,2019-06-14T16:07:34.061899
2455.0,15956.0,1999.0,560.0,-23416.0,-10829.0,9367.0,0,0,0,NONE,0,2019-06-14T16:07:34.647224
2389.0,15915.0,1988.0,634.0,-23423.0,-10865.0,9406.0,0,0,0,NONE,0,2019-06-14T16:07:35.196407
2424.0,15986.0,2004.0,533.0,-23403.0,-10876.0,9400.0,0,0,0,NONE,0,2019-06-14T16:07:35.784972
2427.0,16002.0,1946.0,652.0,-23432.0,-10918.0,9434.0,0,0,0,NONE,0,2019-06-14T16:07:36.332240
2466.0,16063.0,1957.0,658.0,-23525.0,-10984.0,9471.0,0,0,0,NONE,0,2019-06-14T16:07:36.920543
2442.0,16100.0,1983.0,624.0,-23475.0,-10982.0,9537.0,0,0,0,NONE,0,2019-06-14T16:07:37.467668
