seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3582.0,5805.0,4209.0,-1567.0,-920.0,-2325.0,-2356.0,0,0,0,NONE,0,2019-06-14T16:51:31.493180
-3628.0,5773.0,4204.0,-1515.0,-899.0,-2402.0,-2352.0,0,0,0,NONE,0,2019-06-14T16:51:32.063307
-3609.0,5774.0,4244.0,-1580.0,-935.0,-2402.0,-2321.0,0,0,0,NONE,0,2019-06-14T16:51:32.630210
-3621.0,5769.0,4194.0,-1594.0,-952.0,-2363.0,-2279.0,0,0,0,NONE,0,2019-06-14T16:51:33.200877
-3641.0,5761.0,4186.0,-1538.0,-939.0,-2349.0,-2315.0,0,0,0,NONE,0,2019-06-14T16:51:33.766857
-3618.0,5761.0,4232.0,-1561.0,-919.0,-2406.0,-2293.0,0,0,0,NONE,0,2019-06-14T16:51:34.337877
-3622.0,5794.0,4232.0,-1594.0,-850.0,-2414.0,-2282.0,0,0,0,NONE,0,2019-06-14T16:51:34.901874
-3591.0,5781.0,4208.0,-1569.0,-904.0,-2378.0,-2321.0,0,0,0,NONE,0,2019-06-14T16:51:35.474437
-3607.0,5805.0,4236.0,-1572.0,-929.0,-2415.0,-2320.0,0,0,0,NONE,0,2019-06-14T16:51:36.038491
-3632.0,5753.0,4224.0,-1547.0,-984.0,-2430.0,-2287.0,0,0,0,NONE,0,2019-06-14T16:51:36.611377
-3564.0,5837.0,4220.0,-1531.0,-937.0,-2402.0,-2227.0,0,0,0,NONE,0,2019-06-14T16:51:37.174946
-3550.0,5812.0,4206.0,-1567.0,-861.0,-2409.0,-2280.0,0,0,0,NONE,0,2019-06-14T16:51:37.748724
-3570.0,5800.0,4201.0,-1551.0,-961.0,-2369.0,-2328.0,0,0,0,NONE,0,2019-06-14T16:51:38.311272
-3528.0,5814.0,4229.0,-1606.0,-873.0,-2334.0,-2274.0,0,0,0,NONE,0,2019-06-14T16:51:38.885733
-3507.0,5843.0,4291.0,-1598.0,-826.0,-2409.0,-2244.0,0,0,0,NONE,0,2019-06-14T16:51:39.448107
-3536.0,5821.0,4270.0,-1551.0,-813.0,-2395.0,-2242.0,0,0,0,NONE,0,2019-06-14T16:51:40.023096
-3544.0,5805.0,4292.0,-1523.0,-843.0,-2428.0,-2252.0,0,0,0,NONE,0,2019-06-14T16:51:40.584789
-3526.0,5775.0,4280.0,-1608.0,-880.0,-2387.0,-2210.0,0,0,0,NONE,0,2019-06-14T16:51:41.159564
-3568.0,5837.0,4253.0,-1572.0,-826.0,-2353.0,-2219.0,0,0,0,NONE,0,2019-06-14T16:51:41.720747
-3494.0,5805.0,4292.0,-1536.0,-798.0,-2443.0,-2240.0,0,0,0,NONE,0,2019-06-14T16:51:42.296800
