seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4272.0,-1038.0,3819.0,-6094.0,19103.0,9442.0,-13903.0,0,0,0,NONE,0,2019-06-14T14:31:09.541804
-4238.0,-960.0,3797.0,-6119.0,19054.0,9333.0,-13851.0,0,0,0,NONE,0,2019-06-14T14:31:10.097159
-4246.0,-1008.0,3813.0,-6150.0,19016.0,9249.0,-13796.0,0,0,0,NONE,0,2019-06-14T14:31:10.678929
-4209.0,-939.0,3814.0,-6237.0,18918.0,9215.0,-13756.0,0,0,0,NONE,0,2019-06-14T14:31:11.233667
-4205.0,-894.0,3844.0,-6241.0,18907.0,9157.0,-13775.0,0,0,0,NONE,0,2019-06-14T14:31:11.814952
-4211.0,-863.0,3773.0,-6239.0,18794.0,9105.0,-13674.0,0,0,0,NONE,0,2019-06-14T14:31:12.369087
-4238.0,-845.0,3801.0,-6233.0,18727.0,8998.0,-13723.0,0,0,0,NONE,0,2019-06-14T14:31:12.951795
-4272.0,-745.0,3868.0,-6290.0,18781.0,8937.0,-13684.0,0,0,0,NONE,0,2019-06-14T14:31:13.504118
-4263.0,-750.0,3819.0,-6315.0,18666.0,8863.0,-13626.0,0,0,0,NONE,0,2019-06-14T14:31:14.087717
-4269.0,-690.0,3794.0,-6323.0,18604.0,8880.0,-13666.0,0,0,0,NONE,0,2019-06-14T14:31:14.639170
-4264.0,-615.0,3696.0,-6317.0,18509.0,8837.0,-13700.0,0,0,0,NONE,0,2019-06-14T14:31:15.223990
-4238.0,-601.0,3698.0,-6330.0,18456.0,8794.0,-13664.0,0,0,0,NONE,0,2019-06-14T14:31:15.775454
-4242.0,-533.0,3682.0,-6368.0,18478.0,8822.0,-13655.0,0,0,0,NONE,0,2019-06-14T14:31:16.360291
-4300.0,-521.0,3570.0,-6326.0,18349.0,8813.0,-13710.0,0,0,0,NONE,0,2019-06-14T14:31:16.909258
-4194.0,-424.0,3603.0,-6406.0,18214.0,8702.0,-13649.0,0,0,0,NONE,0,2019-06-14T14:31:17.496544
-4248.0,-280.0,3581.0,-6368.0,18167.0,8673.0,-13640.0,0,0,0,NONE,0,2019-06-14T14:31:18.046324
-4195.0,-315.0,3577.0,-6317.0,18078.0,8612.0,-13653.0,0,0,0,NONE,0,2019-06-14T14:31:18.632983
-4119.0,-323.0,3576.0,-6424.0,18099.0,8635.0,-13642.0,0,0,0,NONE,0,2019-06-14T14:31:19.181803
-4132.0,-224.0,3589.0,-6436.0,17944.0,8654.0,-13638.0,0,0,0,NONE,0,2019-06-14T14:31:19.769098
-4111.0,-113.0,3580.0,-6405.0,17958.0,8644.0,-13622.0,0,0,0,NONE,0,2019-06-14T14:31:20.317241
