seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1642.0,5035.0,6168.0,-2056.0,971.0,-933.0,-3993.0,0,0,0,NONE,0,2019-06-14T15:53:37.491458
-1592.0,5057.0,6212.0,-2034.0,964.0,-955.0,-3954.0,0,0,0,NONE,0,2019-06-14T15:53:38.046672
-1636.0,5036.0,6229.0,-2061.0,988.0,-902.0,-4011.0,0,0,0,NONE,0,2019-06-14T15:53:38.628241
-1603.0,4996.0,6215.0,-2032.0,980.0,-916.0,-3938.0,0,0,0,NONE,0,2019-06-14T15:53:39.183435
-1614.0,4958.0,6207.0,-1980.0,862.0,-923.0,-3988.0,0,0,0,NONE,0,2019-06-14T15:53:39.766534
-1693.0,5012.0,6177.0,-2005.0,974.0,-954.0,-3979.0,0,0,0,NONE,0,2019-06-14T15:53:40.319947
-1620.0,5032.0,6181.0,-2054.0,947.0,-915.0,-4040.0,0,0,0,NONE,0,2019-06-14T15:53:40.902044
-1610.0,5053.0,6198.0,-2046.0,983.0,-893.0,-4063.0,0,0,0,NONE,0,2019-06-14T15:53:41.456006
-1624.0,5019.0,6219.0,-2044.0,963.0,-824.0,-4027.0,0,0,0,NONE,0,2019-06-14T15:53:42.039169
-1679.0,5047.0,6189.0,-1940.0,988.0,-853.0,-4060.0,0,0,0,NONE,0,2019-06-14T15:53:42.590679
-1603.0,5019.0,6218.0,-1985.0,945.0,-826.0,-4103.0,0,0,0,NONE,0,2019-06-14T15:53:43.176048
-1564.0,5000.0,6231.0,-2024.0,1017.0,-878.0,-4074.0,0,0,0,NONE,0,2019-06-14T15:53:43.727176
-1580.0,5052.0,6215.0,-2006.0,936.0,-828.0,-4050.0,0,0,0,NONE,0,2019-06-14T15:53:44.313674
-1619.0,5033.0,6229.0,-1992.0,975.0,-777.0,-4073.0,0,0,0,NONE,0,2019-06-14T15:53:44.863104
-1623.0,4990.0,6212.0,-2045.0,994.0,-755.0,-4069.0,0,0,0,NONE,0,2019-06-14T15:53:45.450043
-1639.0,5029.0,6200.0,-2068.0,993.0,-749.0,-4081.0,0,0,0,NONE,0,2019-06-14T15:53:45.999055
-1632.0,5013.0,6205.0,-1956.0,990.0,-765.0,-4031.0,0,0,0,NONE,0,2019-06-14T15:53:46.587499
-1678.0,5070.0,6225.0,-2022.0,1019.0,-717.0,-3972.0,0,0,0,NONE,0,2019-06-14T15:53:47.135863
-1648.0,5075.0,6236.0,-1996.0,1057.0,-786.0,-4090.0,0,0,0,NONE,0,2019-06-14T15:53:47.724132
-1610.0,5014.0,6225.0,-1979.0,1026.0,-730.0,-3976.0,0,0,0,NONE,0,2019-06-14T15:53:48.271639
