seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1618.0,5023.0,6230.0,-1991.0,1058.0,-671.0,-3997.0,0,0,0,NONE,0,2019-06-14T15:53:48.860814
-1604.0,5071.0,6188.0,-1999.0,1003.0,-714.0,-4000.0,0,0,0,NONE,0,2019-06-14T15:53:49.407481
-1649.0,5047.0,6214.0,-2007.0,1033.0,-732.0,-3973.0,0,0,0,NONE,0,2019-06-14T15:53:49.998380
-1611.0,5037.0,6214.0,-1994.0,1015.0,-714.0,-3967.0,0,0,0,NONE,0,2019-06-14T15:53:50.543741
-1648.0,5020.0,6226.0,-2021.0,1005.0,-725.0,-3950.0,0,0,0,NONE,0,2019-06-14T15:53:51.135736
-1645.0,5048.0,6201.0,-1992.0,972.0,-694.0,-3975.0,0,0,0,NONE,0,2019-06-14T15:53:51.678856
-1641.0,5045.0,6240.0,-2020.0,1098.0,-646.0,-3995.0,0,0,0,NONE,0,2019-06-14T15:53:52.272577
-1674.0,5112.0,6236.0,-2071.0,1040.0,-679.0,-3940.0,0,0,0,NONE,0,2019-06-14T15:53:52.816612
-1736.0,5083.0,6200.0,-2058.0,1118.0,-638.0,-3989.0,0,0,0,NONE,0,2019-06-14T15:53:53.409541
-1637.0,5005.0,6263.0,-1976.0,1073.0,-670.0,-3981.0,0,0,0,NONE,0,2019-06-14T15:53:53.950600
-1651.0,5081.0,6168.0,-2041.0,1032.0,-623.0,-3916.0,0,0,0,NONE,0,2019-06-14T15:53:54.545759
-1672.0,5099.0,6200.0,-1986.0,1102.0,-631.0,-3994.0,0,0,0,NONE,0,2019-06-14T15:53:55.087690
-1696.0,5093.0,6205.0,-1971.0,1058.0,-628.0,-3950.0,0,0,0,NONE,0,2019-06-14T15:53:55.682907
-1675.0,5047.0,6235.0,-1912.0,1070.0,-653.0,-3929.0,0,0,0,NONE,0,2019-06-14T15:53:56.222103
-1681.0,5054.0,6211.0,-1998.0,1171.0,-650.0,-3974.0,0,0,0,NONE,0,2019-06-14T15:53:56.820187
-1623.0,5001.0,6197.0,-2031.0,1096.0,-630.0,-3923.0,0,0,0,NONE,0,2019-06-14T15:53:57.359293
-1668.0,5082.0,6205.0,-2054.0,1076.0,-623.0,-3956.0,0,0,0,NONE,0,2019-06-14T15:53:57.956369
-1743.0,5072.0,6222.0,-2015.0,1140.0,-630.0,-3949.0,0,0,0,NONE,0,2019-06-14T15:53:58.493876
-1680.0,5097.0,6207.0,-2025.0,1130.0,-612.0,-3978.0,0,0,0,NONE,0,2019-06-14T15:53:59.094171
-1722.0,5088.0,6242.0,-2022.0,1078.0,-593.0,-3988.0,0,0,0,NONE,0,2019-06-14T15:53:59.630905
