seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4189.0,-5094.0,2220.0,863.0,6408.0,2356.0,-1136.0,0,0,0,NONE,0,2019-06-14T12:59:36.226418
-4200.0,-5079.0,2234.0,806.0,6407.0,2375.0,-1141.0,0,0,0,NONE,0,2019-06-14T12:59:36.783672
-4119.0,-5068.0,2253.0,907.0,6389.0,2339.0,-1094.0,0,0,0,NONE,0,2019-06-14T12:59:37.362848
-4157.0,-5062.0,2222.0,846.0,6373.0,2360.0,-1118.0,0,0,0,NONE,0,2019-06-14T12:59:37.919211
-4188.0,-5032.0,2235.0,819.0,6380.0,2338.0,-1163.0,0,0,0,NONE,0,2019-06-14T12:59:38.499269
-4129.0,-5079.0,2268.0,903.0,6410.0,2363.0,-1182.0,0,0,0,NONE,0,2019-06-14T12:59:39.054562
-4142.0,-5043.0,2260.0,854.0,6341.0,2413.0,-1206.0,0,0,0,NONE,0,2019-06-14T12:59:39.635377
-4141.0,-5060.0,2211.0,863.0,6373.0,2368.0,-1135.0,0,0,0,NONE,0,2019-06-14T12:59:40.190028
-4105.0,-5017.0,2257.0,863.0,6434.0,2343.0,-1135.0,0,0,0,NONE,0,2019-06-14T12:59:40.771529
-4091.0,-5046.0,2256.0,827.0,6446.0,2359.0,-1203.0,0,0,0,NONE,0,2019-06-14T12:59:41.325526
-4143.0,-5114.0,2264.0,884.0,6454.0,2331.0,-1260.0,0,0,0,NONE,0,2019-06-14T12:59:41.907648
-4116.0,-5038.0,2261.0,905.0,6383.0,2380.0,-1238.0,0,0,0,NONE,0,2019-06-14T12:59:42.460816
-4122.0,-4999.0,2219.0,847.0,6363.0,2413.0,-1262.0,0,0,0,NONE,0,2019-06-14T12:59:43.043584
-4127.0,-4993.0,2278.0,825.0,6368.0,2354.0,-1230.0,0,0,0,NONE,0,2019-06-14T12:59:43.596059
-4099.0,-5000.0,2224.0,877.0,6366.0,2396.0,-1170.0,0,0,0,NONE,0,2019-06-14T12:59:44.179998
-4145.0,-5032.0,2284.0,850.0,6356.0,2422.0,-1231.0,0,0,0,NONE,0,2019-06-14T12:59:44.731614
-4134.0,-5041.0,2306.0,875.0,6331.0,2470.0,-1204.0,0,0,0,NONE,0,2019-06-14T12:59:45.315937
-4103.0,-5010.0,2272.0,842.0,6395.0,2515.0,-1275.0,0,0,0,NONE,0,2019-06-14T12:59:45.866806
-4118.0,-5032.0,2307.0,796.0,6394.0,2447.0,-1206.0,0,0,0,NONE,0,2019-06-14T12:59:46.452033
-4158.0,-5080.0,2264.0,846.0,6378.0,2438.0,-1238.0,0,0,0,NONE,0,2019-06-14T12:59:47.002241
