seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-5251.0,1519.0,3093.0,-2277.0,16071.0,7823.0,-7451.0,0,0,0,NONE,0,2019-06-14T14:23:58.115657
-5246.0,1535.0,3123.0,-2246.0,16052.0,7945.0,-7431.0,0,0,0,NONE,0,2019-06-14T14:23:58.683280
-5302.0,1515.0,3127.0,-2233.0,16136.0,7843.0,-7443.0,0,0,0,NONE,0,2019-06-14T14:23:59.252500
-5318.0,1470.0,3108.0,-2312.0,16148.0,7914.0,-7476.0,0,0,0,NONE,0,2019-06-14T14:23:59.819604
-5267.0,1516.0,3062.0,-2333.0,16148.0,7909.0,-7464.0,0,0,0,NONE,0,2019-06-14T14:24:00.387157
-5285.0,1480.0,3092.0,-2346.0,16174.0,7891.0,-7470.0,0,0,0,NONE,0,2019-06-14T14:24:00.953030
-5261.0,1458.0,3203.0,-2334.0,16191.0,7947.0,-7512.0,0,0,0,NONE,0,2019-06-14T14:24:01.522415
-5290.0,1437.0,3133.0,-2365.0,16205.0,7899.0,-7524.0,0,0,0,NONE,0,2019-06-14T14:24:02.089769
-5311.0,1479.0,3113.0,-2359.0,16233.0,7949.0,-7495.0,0,0,0,NONE,0,2019-06-14T14:24:02.657165
-5339.0,1405.0,3113.0,-2373.0,16245.0,7995.0,-7576.0,0,0,0,NONE,0,2019-06-14T14:24:03.226377
-5293.0,1420.0,3142.0,-2340.0,16258.0,7970.0,-7546.0,0,0,0,NONE,0,2019-06-14T14:24:03.792312
-5342.0,1407.0,3147.0,-2397.0,16207.0,8009.0,-7576.0,0,0,0,NONE,0,2019-06-14T14:24:04.359829
-5348.0,1354.0,3119.0,-2358.0,16322.0,8040.0,-7541.0,0,0,0,NONE,0,2019-06-14T14:24:04.927015
-5331.0,1306.0,3176.0,-2355.0,16221.0,8089.0,-7652.0,0,0,0,NONE,0,2019-06-14T14:24:05.494807
-5348.0,1368.0,3204.0,-2392.0,16333.0,8034.0,-7649.0,0,0,0,NONE,0,2019-06-14T14:24:06.062445
-5370.0,1287.0,3115.0,-2362.0,16391.0,8071.0,-7653.0,0,0,0,NONE,0,2019-06-14T14:24:06.629914
-5328.0,1324.0,3173.0,-2426.0,16328.0,8054.0,-7614.0,0,0,0,NONE,0,2019-06-14T14:24:07.197430
-5383.0,1270.0,3201.0,-2382.0,16363.0,8087.0,-7631.0,0,0,0,NONE,0,2019-06-14T14:24:07.764982
-5397.0,1268.0,3194.0,-2367.0,16447.0,8140.0,-7679.0,0,0,0,NONE,0,2019-06-14T14:24:08.331935
-5433.0,1274.0,3178.0,-2441.0,16369.0,8144.0,-7669.0,0,0,0,NONE,0,2019-06-14T14:24:08.899437
