seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4677.0,-3803.0,1625.0,2915.0,4931.0,986.0,2500.0,0,0,0,NONE,0,2019-06-14T12:56:00.517553
-4630.0,-3795.0,1639.0,2900.0,4937.0,981.0,2547.0,0,0,0,NONE,0,2019-06-14T12:56:01.096918
-4575.0,-3768.0,1660.0,2912.0,4937.0,1007.0,2499.0,0,0,0,NONE,0,2019-06-14T12:56:01.652917
-4610.0,-3768.0,1625.0,2871.0,4913.0,999.0,2421.0,0,0,0,NONE,0,2019-06-14T12:56:02.232853
-4628.0,-3712.0,1662.0,2853.0,4991.0,1013.0,2474.0,0,0,0,NONE,0,2019-06-14T12:56:02.787983
-4639.0,-3796.0,1648.0,2853.0,4976.0,1046.0,2531.0,0,0,0,NONE,0,2019-06-14T12:56:03.368771
-4667.0,-3774.0,1584.0,2855.0,4977.0,1039.0,2430.0,0,0,0,NONE,0,2019-06-14T12:56:03.922741
-4567.0,-3867.0,1570.0,2816.0,4923.0,1071.0,2460.0,0,0,0,NONE,0,2019-06-14T12:56:04.504878
-4693.0,-3822.0,1668.0,2805.0,5014.0,1092.0,2420.0,0,0,0,NONE,0,2019-06-14T12:56:05.058172
-4643.0,-3843.0,1591.0,2821.0,5019.0,1042.0,2422.0,0,0,0,NONE,0,2019-06-14T12:56:05.640970
-4632.0,-3853.0,1616.0,2783.0,5034.0,1049.0,2350.0,0,0,0,NONE,0,2019-06-14T12:56:06.193691
-4617.0,-3842.0,1649.0,2794.0,4990.0,1057.0,2432.0,0,0,0,NONE,0,2019-06-14T12:56:06.777087
-4596.0,-3798.0,1670.0,2728.0,5010.0,1064.0,2387.0,0,0,0,NONE,0,2019-06-14T12:56:07.328285
-4657.0,-3931.0,1672.0,2733.0,5043.0,1065.0,2398.0,0,0,0,NONE,0,2019-06-14T12:56:07.913081
-4599.0,-3885.0,1721.0,2773.0,5039.0,1062.0,2390.0,0,0,0,NONE,0,2019-06-14T12:56:08.463366
-4599.0,-3900.0,1673.0,2782.0,5059.0,1082.0,2431.0,0,0,0,NONE,0,2019-06-14T12:56:09.049136
-4606.0,-3931.0,1700.0,2751.0,5105.0,1105.0,2432.0,0,0,0,NONE,0,2019-06-14T12:56:09.598424
-4618.0,-3857.0,1631.0,2776.0,5078.0,1087.0,2353.0,0,0,0,NONE,0,2019-06-14T12:56:10.185011
-4656.0,-3908.0,1674.0,2757.0,5123.0,1052.0,2353.0,0,0,0,NONE,0,2019-06-14T12:56:10.733352
-4668.0,-3898.0,1690.0,2736.0,5078.0,1081.0,2396.0,0,0,0,NONE,0,2019-06-14T12:56:11.320796
