seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3217.0,-4414.0,3555.0,63.0,5648.0,3403.0,-1430.0,0,0,0,NONE,0,2019-06-14T12:03:13.238550
-3216.0,-4422.0,3466.0,127.0,5606.0,3542.0,-1448.0,0,0,0,NONE,0,2019-06-14T12:03:13.838835
-3214.0,-4485.0,3509.0,190.0,5631.0,3508.0,-1516.0,0,0,0,NONE,0,2019-06-14T12:03:14.373843
-3209.0,-4431.0,3501.0,107.0,5686.0,3487.0,-1450.0,0,0,0,NONE,0,2019-06-14T12:03:14.974727
-3157.0,-4472.0,3515.0,134.0,5716.0,3496.0,-1566.0,0,0,0,NONE,0,2019-06-14T12:03:15.509026
-3131.0,-4469.0,3603.0,102.0,5709.0,3482.0,-1457.0,0,0,0,NONE,0,2019-06-14T12:03:16.110643
-3144.0,-4480.0,3574.0,117.0,5672.0,3507.0,-1512.0,0,0,0,NONE,0,2019-06-14T12:03:16.644309
-3134.0,-4489.0,3532.0,98.0,5725.0,3591.0,-1491.0,0,0,0,NONE,0,2019-06-14T12:03:17.246780
-3125.0,-4547.0,3583.0,74.0,5547.0,3517.0,-1573.0,0,0,0,NONE,0,2019-06-14T12:03:17.779582
-3109.0,-4467.0,3539.0,115.0,5682.0,3522.0,-1546.0,0,0,0,NONE,0,2019-06-14T12:03:18.382974
-3133.0,-4443.0,3547.0,118.0,5662.0,3529.0,-1547.0,0,0,0,NONE,0,2019-06-14T12:03:18.914972
-3116.0,-4460.0,3601.0,97.0,5629.0,3527.0,-1597.0,0,0,0,NONE,0,2019-06-14T12:03:19.519235
-3152.0,-4478.0,3572.0,32.0,5634.0,3544.0,-1531.0,0,0,0,NONE,0,2019-06-14T12:03:20.050244
-3090.0,-4452.0,3569.0,45.0,5677.0,3584.0,-1612.0,0,0,0,NONE,0,2019-06-14T12:03:20.655213
-3090.0,-4459.0,3536.0,61.0,5642.0,3549.0,-1587.0,0,0,0,NONE,0,2019-06-14T12:03:21.185399
-3076.0,-4543.0,3634.0,-7.0,5630.0,3553.0,-1602.0,0,0,0,NONE,0,2019-06-14T12:03:21.791559
-3100.0,-4458.0,3562.0,84.0,5574.0,3609.0,-1652.0,0,0,0,NONE,0,2019-06-14T12:03:22.320647
-3079.0,-4499.0,3584.0,72.0,5650.0,3615.0,-1675.0,0,0,0,NONE,0,2019-06-14T12:03:22.927841
-3118.0,-4530.0,3523.0,56.0,5660.0,3607.0,-1587.0,0,0,0,NONE,0,2019-06-14T12:03:23.455871
-3040.0,-4484.0,3548.0,46.0,5643.0,3599.0,-1681.0,0,0,0,NONE,0,2019-06-14T12:03:24.063381
