seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3250.0,-2492.0,3505.0,2163.0,3918.0,950.0,3892.0,0,0,0,NONE,0,2019-06-14T11:59:14.863683
-3243.0,-2598.0,3467.0,2150.0,3913.0,936.0,3874.0,0,0,0,NONE,0,2019-06-14T11:59:15.455690
-3232.0,-2506.0,3476.0,2228.0,3983.0,971.0,3909.0,0,0,0,NONE,0,2019-06-14T11:59:15.999138
-3295.0,-2578.0,3475.0,2216.0,3972.0,965.0,3885.0,0,0,0,NONE,0,2019-06-14T11:59:16.591974
-3266.0,-2572.0,3522.0,2188.0,3969.0,1002.0,3869.0,0,0,0,NONE,0,2019-06-14T11:59:17.133908
-3302.0,-2621.0,3477.0,2158.0,4002.0,1014.0,3788.0,0,0,0,NONE,0,2019-06-14T11:59:17.727950
-3311.0,-2620.0,3486.0,2117.0,4071.0,1066.0,3825.0,0,0,0,NONE,0,2019-06-14T11:59:18.268743
-3291.0,-2608.0,3502.0,2133.0,4044.0,1038.0,3850.0,0,0,0,NONE,0,2019-06-14T11:59:18.863714
-3340.0,-2686.0,3438.0,2133.0,4160.0,1023.0,3873.0,0,0,0,NONE,0,2019-06-14T11:59:19.403384
-3374.0,-2634.0,3443.0,2067.0,4153.0,1020.0,3816.0,0,0,0,NONE,0,2019-06-14T11:59:20.000016
-3309.0,-2625.0,3456.0,2085.0,4106.0,1061.0,3795.0,0,0,0,NONE,0,2019-06-14T11:59:20.538321
-3364.0,-2747.0,3475.0,2113.0,4115.0,1036.0,3754.0,0,0,0,NONE,0,2019-06-14T11:59:21.136099
-3344.0,-2623.0,3443.0,2093.0,4104.0,1058.0,3801.0,0,0,0,NONE,0,2019-06-14T11:59:21.675206
-3384.0,-2655.0,3502.0,2053.0,4151.0,1089.0,3740.0,0,0,0,NONE,0,2019-06-14T11:59:22.272320
-3374.0,-2671.0,3482.0,2109.0,4176.0,1126.0,3716.0,0,0,0,NONE,0,2019-06-14T11:59:22.808039
-3337.0,-2698.0,3436.0,2079.0,4204.0,1128.0,3783.0,0,0,0,NONE,0,2019-06-14T11:59:23.408216
-3379.0,-2708.0,3472.0,2098.0,4201.0,1064.0,3701.0,0,0,0,NONE,0,2019-06-14T11:59:23.942977
-3360.0,-2754.0,3440.0,2057.0,4247.0,1058.0,3725.0,0,0,0,NONE,0,2019-06-14T11:59:24.544072
-3344.0,-2707.0,3504.0,2002.0,4188.0,1042.0,3692.0,0,0,0,NONE,0,2019-06-14T11:59:25.077478
-3422.0,-2728.0,3467.0,1994.0,4236.0,1061.0,3685.0,0,0,0,NONE,0,2019-06-14T11:59:25.680289
