seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-7960.0,-1673.0,2653.0,-2754.0,17833.0,8627.0,-9175.0,0,0,0,NONE,0,2019-06-14T14:45:14.227315
-7969.0,-1717.0,2679.0,-2825.0,17804.0,8626.0,-9210.0,0,0,0,NONE,0,2019-06-14T14:45:14.795771
-7993.0,-1679.0,2666.0,-2824.0,17785.0,8614.0,-9213.0,0,0,0,NONE,0,2019-06-14T14:45:15.363543
-7941.0,-1677.0,2674.0,-2788.0,17851.0,8644.0,-9203.0,0,0,0,NONE,0,2019-06-14T14:45:15.930594
-7924.0,-1680.0,2697.0,-2812.0,17756.0,8657.0,-9194.0,0,0,0,NONE,0,2019-06-14T14:45:16.498133
-7935.0,-1670.0,2721.0,-2888.0,17788.0,8574.0,-9227.0,0,0,0,NONE,0,2019-06-14T14:45:17.065580
-7924.0,-1720.0,2724.0,-2841.0,17771.0,8622.0,-9231.0,0,0,0,NONE,0,2019-06-14T14:45:17.633122
-7963.0,-1695.0,2703.0,-2823.0,17780.0,8632.0,-9334.0,0,0,0,NONE,0,2019-06-14T14:45:18.201520
-7914.0,-1733.0,2645.0,-2888.0,17751.0,8677.0,-9340.0,0,0,0,NONE,0,2019-06-14T14:45:18.768747
-7934.0,-1739.0,2654.0,-2843.0,17859.0,8648.0,-9333.0,0,0,0,NONE,0,2019-06-14T14:45:19.335970
-7974.0,-1765.0,2669.0,-2896.0,17793.0,8675.0,-9351.0,0,0,0,NONE,0,2019-06-14T14:45:19.902623
-7930.0,-1721.0,2721.0,-2903.0,17815.0,8704.0,-9306.0,0,0,0,NONE,0,2019-06-14T14:45:20.470722
-7936.0,-1729.0,2622.0,-2885.0,17737.0,8714.0,-9366.0,0,0,0,NONE,0,2019-06-14T14:45:21.038479
-7948.0,-1786.0,2704.0,-2843.0,17770.0,8694.0,-9379.0,0,0,0,NONE,0,2019-06-14T14:45:21.604822
-7889.0,-1733.0,2654.0,-2912.0,17757.0,8741.0,-9408.0,0,0,0,NONE,0,2019-06-14T14:45:22.173444
-7950.0,-1779.0,2708.0,-2915.0,17761.0,8739.0,-9411.0,0,0,0,NONE,0,2019-06-14T14:45:22.741077
-7927.0,-1793.0,2758.0,-2856.0,17795.0,8751.0,-9410.0,0,0,0,NONE,0,2019-06-14T14:45:23.308526
-7939.0,-1784.0,2667.0,-2891.0,17749.0,8770.0,-9481.0,0,0,0,NONE,0,2019-06-14T14:45:23.876044
-7962.0,-1802.0,2663.0,-2897.0,17775.0,8762.0,-9399.0,0,0,0,NONE,0,2019-06-14T14:45:24.444690
-7912.0,-1824.0,2668.0,-2904.0,17770.0,8805.0,-9451.0,0,0,0,NONE,0,2019-06-14T14:45:25.010035
