seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3595.0,5880.0,4471.0,-1120.0,106.0,-2048.0,-2086.0,0,0,0,NONE,0,2019-06-14T16:24:22.435039
-3666.0,5915.0,4461.0,-1121.0,77.0,-2086.0,-2063.0,0,0,0,NONE,0,2019-06-14T16:24:22.978623
-3612.0,5825.0,4515.0,-1157.0,72.0,-2094.0,-2087.0,0,0,0,NONE,0,2019-06-14T16:24:23.572066
-3616.0,5849.0,4461.0,-1129.0,21.0,-2082.0,-2041.0,0,0,0,NONE,0,2019-06-14T16:24:24.114900
-3638.0,5847.0,4479.0,-1111.0,130.0,-2075.0,-2108.0,0,0,0,NONE,0,2019-06-14T16:24:24.709048
-3642.0,5795.0,4463.0,-1099.0,73.0,-2119.0,-2082.0,0,0,0,NONE,0,2019-06-14T16:24:25.251014
-3653.0,5841.0,4451.0,-1109.0,69.0,-2149.0,-2081.0,0,0,0,NONE,0,2019-06-14T16:24:25.845512
-3651.0,5834.0,4533.0,-1112.0,71.0,-2113.0,-2067.0,0,0,0,NONE,0,2019-06-14T16:24:26.386348
-3653.0,5859.0,4490.0,-1097.0,55.0,-2153.0,-2054.0,0,0,0,NONE,0,2019-06-14T16:24:26.982061
-3587.0,5852.0,4490.0,-1098.0,73.0,-2066.0,-2014.0,0,0,0,NONE,0,2019-06-14T16:24:27.524817
-3615.0,5882.0,4458.0,-1140.0,101.0,-2141.0,-2005.0,0,0,0,NONE,0,2019-06-14T16:24:28.118835
-3654.0,5875.0,4461.0,-1130.0,40.0,-2058.0,-2096.0,0,0,0,NONE,0,2019-06-14T16:24:28.659116
-3667.0,5797.0,4483.0,-1143.0,47.0,-2202.0,-2006.0,0,0,0,NONE,0,2019-06-14T16:24:29.255877
-3613.0,5835.0,4420.0,-1108.0,0.0,-2149.0,-2078.0,0,0,0,NONE,0,2019-06-14T16:24:29.795209
-3607.0,5890.0,4534.0,-1084.0,13.0,-2132.0,-2044.0,0,0,0,NONE,0,2019-06-14T16:24:30.392801
-3611.0,5871.0,4476.0,-1126.0,83.0,-2178.0,-2079.0,0,0,0,NONE,0,2019-06-14T16:24:30.931648
-3576.0,5846.0,4486.0,-1175.0,38.0,-2154.0,-2040.0,0,0,0,NONE,0,2019-06-14T16:24:31.529333
-3619.0,5811.0,4512.0,-1114.0,96.0,-2208.0,-2017.0,0,0,0,NONE,0,2019-06-14T16:24:32.067727
-3626.0,5854.0,4452.0,-1107.0,69.0,-2182.0,-2012.0,0,0,0,NONE,0,2019-06-14T16:24:32.666500
-3626.0,5863.0,4498.0,-1150.0,71.0,-2184.0,-2004.0,0,0,0,NONE,0,2019-06-14T16:24:33.204127
