seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1770.0,5042.0,5913.0,-1783.0,1176.0,-880.0,-3569.0,0,0,0,NONE,0,2019-06-14T15:52:29.318150
-1851.0,5026.0,5870.0,-1820.0,1155.0,-871.0,-3485.0,0,0,0,NONE,0,2019-06-14T15:52:29.899405
-1724.0,5027.0,5952.0,-1851.0,1185.0,-930.0,-3475.0,0,0,0,NONE,0,2019-06-14T15:52:30.454367
-1797.0,5044.0,5931.0,-1792.0,1201.0,-871.0,-3524.0,0,0,0,NONE,0,2019-06-14T15:52:31.035933
-1775.0,5092.0,5881.0,-1873.0,1151.0,-956.0,-3496.0,0,0,0,NONE,0,2019-06-14T15:52:31.590856
-1798.0,5058.0,5898.0,-1848.0,1116.0,-921.0,-3519.0,0,0,0,NONE,0,2019-06-14T15:52:32.172838
-1798.0,5044.0,5909.0,-1874.0,1161.0,-928.0,-3512.0,0,0,0,NONE,0,2019-06-14T15:52:32.727501
-1835.0,5058.0,5917.0,-1825.0,1134.0,-931.0,-3495.0,0,0,0,NONE,0,2019-06-14T15:52:33.310962
-1864.0,5110.0,5920.0,-1850.0,1154.0,-970.0,-3494.0,0,0,0,NONE,0,2019-06-14T15:52:33.863173
-1793.0,5074.0,5944.0,-1867.0,1125.0,-941.0,-3544.0,0,0,0,NONE,0,2019-06-14T15:52:34.446953
-1745.0,5054.0,5897.0,-1898.0,1158.0,-1002.0,-3495.0,0,0,0,NONE,0,2019-06-14T15:52:34.999488
-1762.0,5022.0,5970.0,-1840.0,1137.0,-997.0,-3504.0,0,0,0,NONE,0,2019-06-14T15:52:35.583467
-1752.0,5074.0,5954.0,-1898.0,1152.0,-1003.0,-3513.0,0,0,0,NONE,0,2019-06-14T15:52:36.134685
-1770.0,5096.0,5928.0,-1836.0,1179.0,-1043.0,-3521.0,0,0,0,NONE,0,2019-06-14T15:52:36.720337
-1781.0,5068.0,5933.0,-1886.0,1140.0,-979.0,-3485.0,0,0,0,NONE,0,2019-06-14T15:52:37.270539
-1734.0,5095.0,5919.0,-1872.0,1186.0,-998.0,-3524.0,0,0,0,NONE,0,2019-06-14T15:52:37.857602
-1765.0,5073.0,5916.0,-1829.0,1164.0,-1030.0,-3514.0,0,0,0,NONE,0,2019-06-14T15:52:38.408014
-1763.0,5114.0,5962.0,-1886.0,1107.0,-1039.0,-3488.0,0,0,0,NONE,0,2019-06-14T15:52:38.995284
-1756.0,4982.0,5949.0,-1887.0,1111.0,-1059.0,-3442.0,0,0,0,NONE,0,2019-06-14T15:52:39.543068
-1795.0,5090.0,5943.0,-1851.0,1087.0,-1044.0,-3499.0,0,0,0,NONE,0,2019-06-14T15:52:40.131717
