seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-12586.0,-787.0,1580.0,3646.0,15476.0,-4754.0,1920.0,0,0,0,NONE,0,2019-06-20T18:57:12.858946
-12572.0,-799.0,1642.0,3633.0,15545.0,-4793.0,1866.0,0,0,0,NONE,0,2019-06-20T18:57:13.102446
-12600.0,-757.0,1683.0,3673.0,15532.0,-4763.0,1889.0,0,0,0,NONE,0,2019-06-20T18:57:13.385604
-12576.0,-793.0,1643.0,3642.0,15619.0,-4759.0,1878.0,0,0,0,NONE,0,2019-06-20T18:57:13.686063
-12600.0,-801.0,1658.0,3690.0,15543.0,-4769.0,1861.0,0,0,0,NONE,0,2019-06-20T18:57:13.954619
-12512.0,-776.0,1654.0,3670.0,15581.0,-4754.0,1872.0,0,0,0,NONE,0,2019-06-20T18:57:14.237902
-12680.0,-782.0,1688.0,3718.0,15570.0,-4722.0,1891.0,0,0,0,NONE,0,2019-06-20T18:57:14.522426
-12667.0,-826.0,1707.0,3695.0,15593.0,-4674.0,1873.0,0,0,0,NONE,0,2019-06-20T18:57:14.822595
-12615.0,-789.0,1709.0,3661.0,15591.0,-4758.0,1795.0,0,0,0,NONE,0,2019-06-20T18:57:15.090293
-12569.0,-846.0,1719.0,3638.0,15666.0,-4776.0,1907.0,0,0,0,NONE,0,2019-06-20T18:57:15.374752
-12624.0,-823.0,1650.0,3724.0,15607.0,-4806.0,1924.0,0,0,0,NONE,0,2019-06-20T18:57:15.658018
-12687.0,-763.0,1661.0,3638.0,15644.0,-4769.0,1807.0,0,0,0,NONE,0,2019-06-20T18:57:15.959089
-12650.0,-786.0,1704.0,3669.0,15633.0,-4772.0,1823.0,0,0,0,NONE,0,2019-06-20T18:57:16.227027
-12695.0,-770.0,1722.0,3702.0,15664.0,-4809.0,1813.0,0,0,0,NONE,0,2019-06-20T18:57:16.510354
-12627.0,-807.0,1677.0,3722.0,15604.0,-4756.0,1870.0,0,0,0,NONE,0,2019-06-20T18:57:16.794760
-12663.0,-767.0,1709.0,3751.0,15654.0,-4722.0,1809.0,0,0,0,NONE,0,2019-06-20T18:57:17.095600
-12669.0,-771.0,1735.0,3644.0,15715.0,-4775.0,1842.0,0,0,0,NONE,0,2019-06-20T18:57:17.362732
-12668.0,-733.0,1681.0,3653.0,15728.0,-4784.0,1852.0,0,0,0,NONE,0,2019-06-20T18:57:17.647146
-12682.0,-783.0,1727.0,3696.0,15733.0,-4785.0,1833.0,0,0,0,NONE,0,2019-06-20T18:57:17.930444
-12642.0,-810.0,1725.0,3692.0,15747.0,-4786.0,1844.0,0,0,0,NONE,0,2019-06-20T18:57:18.232103
