seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
4492.0,4342.0,4314.0,10934.0,9530.0,-2138.0,465.0,0,0,0,NONE,0,2019-06-24T11:28:26.064882
4491.0,4261.0,4288.0,10938.0,9489.0,-2130.0,429.0,0,0,0,NONE,0,2019-06-24T11:28:26.348018
4442.0,4307.0,4322.0,10915.0,9509.0,-2200.0,469.0,0,0,0,NONE,0,2019-06-24T11:28:26.639309
4440.0,4300.0,4310.0,10916.0,9543.0,-2159.0,497.0,0,0,0,NONE,0,2019-06-24T11:28:26.915791
4400.0,4324.0,4340.0,10950.0,9537.0,-2189.0,491.0,0,0,0,NONE,0,2019-06-24T11:28:27.199043
4448.0,4287.0,4295.0,10915.0,9610.0,-2183.0,562.0,0,0,0,NONE,0,2019-06-24T11:28:27.482361
4435.0,4324.0,4284.0,10950.0,9477.0,-2194.0,520.0,0,0,0,NONE,0,2019-06-24T11:28:27.774502
4466.0,4233.0,4332.0,10980.0,9509.0,-2231.0,557.0,0,0,0,NONE,0,2019-06-24T11:28:28.052299
4453.0,4266.0,4263.0,10917.0,9512.0,-2161.0,552.0,0,0,0,NONE,0,2019-06-24T11:28:28.333306
4383.0,4318.0,4315.0,10921.0,9575.0,-2189.0,497.0,0,0,0,NONE,0,2019-06-24T11:28:28.616564
4406.0,4328.0,4360.0,10903.0,9485.0,-2205.0,560.0,0,0,0,NONE,0,2019-06-24T11:28:28.909808
4426.0,4248.0,4396.0,10843.0,9530.0,-2237.0,587.0,0,0,0,NONE,0,2019-06-24T11:28:29.184284
4389.0,4327.0,4282.0,10938.0,9457.0,-2246.0,529.0,0,0,0,NONE,0,2019-06-24T11:28:29.467748
4481.0,4280.0,4315.0,10876.0,9475.0,-2272.0,569.0,0,0,0,NONE,0,2019-06-24T11:28:29.750840
4400.0,4228.0,4301.0,10904.0,9439.0,-2189.0,548.0,0,0,0,NONE,0,2019-06-24T11:28:30.046358
4433.0,4265.0,4283.0,10865.0,9477.0,-2191.0,630.0,0,0,0,NONE,0,2019-06-24T11:28:30.318536
4398.0,4224.0,4325.0,10841.0,9458.0,-2235.0,597.0,0,0,0,NONE,0,2019-06-24T11:28:30.601845
4425.0,4268.0,4301.0,10902.0,9428.0,-2199.0,567.0,0,0,0,NONE,0,2019-06-24T11:28:30.885149
4422.0,4297.0,4312.0,10875.0,9454.0,-2161.0,646.0,0,0,0,NONE,0,2019-06-24T11:28:31.181617
4450.0,4289.0,4343.0,10853.0,9459.0,-2174.0,558.0,0,0,0,NONE,0,2019-06-24T11:28:31.452908
