seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
5881.0,3494.0,1963.0,11294.0,10057.0,1127.0,211.0,0,0,0,NONE,0,2019-06-24T11:32:46.934925
5838.0,3453.0,1991.0,11210.0,10126.0,1105.0,178.0,0,0,0,NONE,0,2019-06-24T11:32:47.218149
5859.0,3529.0,1959.0,11275.0,10168.0,1086.0,147.0,0,0,0,NONE,0,2019-06-24T11:32:47.501461
5860.0,3458.0,1977.0,11246.0,10155.0,1101.0,178.0,0,0,0,NONE,0,2019-06-24T11:32:47.806353
5802.0,3488.0,1982.0,11272.0,10098.0,1066.0,220.0,0,0,0,NONE,0,2019-06-24T11:32:48.069140
5867.0,3454.0,1971.0,11194.0,10114.0,1019.0,227.0,0,0,0,NONE,0,2019-06-24T11:32:48.352609
5902.0,3443.0,1950.0,11264.0,10169.0,974.0,279.0,0,0,0,NONE,0,2019-06-24T11:32:48.635670
5803.0,3530.0,1946.0,11227.0,10101.0,955.0,278.0,0,0,0,NONE,0,2019-06-24T11:32:48.941660
5835.0,3517.0,1886.0,11274.0,10106.0,929.0,236.0,0,0,0,NONE,0,2019-06-24T11:32:49.202229
5861.0,3495.0,1864.0,11187.0,10159.0,956.0,227.0,0,0,0,NONE,0,2019-06-24T11:32:49.486688
5913.0,3458.0,1905.0,11263.0,10160.0,1001.0,257.0,0,0,0,NONE,0,2019-06-24T11:32:49.770054
5807.0,3472.0,1852.0,11219.0,10103.0,910.0,284.0,0,0,0,NONE,0,2019-06-24T11:32:50.053152
5873.0,3465.0,1926.0,11244.0,10111.0,972.0,250.0,0,0,0,NONE,0,2019-06-24T11:32:50.336426
5840.0,3485.0,1840.0,11198.0,10102.0,975.0,300.0,0,0,0,NONE,0,2019-06-24T11:32:50.621132
5894.0,3400.0,1896.0,11199.0,10112.0,972.0,285.0,0,0,0,NONE,0,2019-06-24T11:32:50.904175
5889.0,3528.0,1821.0,11171.0,10086.0,977.0,277.0,0,0,0,NONE,0,2019-06-24T11:32:51.187435
5930.0,3474.0,1858.0,11236.0,10093.0,903.0,216.0,0,0,0,NONE,0,2019-06-24T11:32:51.471132
5936.0,3460.0,1818.0,11221.0,10099.0,999.0,275.0,0,0,0,NONE,0,2019-06-24T11:32:51.754435
5906.0,3439.0,1785.0,11209.0,10052.0,953.0,239.0,0,0,0,NONE,0,2019-06-24T11:32:52.039360
5943.0,3490.0,1821.0,11216.0,10111.0,995.0,262.0,0,0,0,NONE,0,2019-06-24T11:32:52.322246
