seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
2851.0,2542.0,6250.0,9610.0,6682.0,-1262.0,143.0,0,0,0,NONE,0,2019-06-24T11:22:16.171293
2886.0,2485.0,6195.0,9658.0,6654.0,-1204.0,119.0,0,0,0,NONE,0,2019-06-24T11:22:16.466119
2843.0,2543.0,6265.0,9613.0,6587.0,-1251.0,91.0,0,0,0,NONE,0,2019-06-24T11:22:16.738864
2849.0,2605.0,6272.0,9638.0,6651.0,-1294.0,153.0,0,0,0,NONE,0,2019-06-24T11:22:17.022298
2853.0,2520.0,6257.0,9597.0,6610.0,-1253.0,212.0,0,0,0,NONE,0,2019-06-24T11:22:17.305565
2783.0,2523.0,6294.0,9559.0,6607.0,-1260.0,153.0,0,0,0,NONE,0,2019-06-24T11:22:17.602589
2804.0,2570.0,6256.0,9593.0,6637.0,-1316.0,185.0,0,0,0,NONE,0,2019-06-24T11:22:17.873188
2868.0,2547.0,6169.0,9577.0,6625.0,-1343.0,180.0,0,0,0,NONE,0,2019-06-24T11:22:18.156452
2817.0,2592.0,6201.0,9554.0,6574.0,-1256.0,164.0,0,0,0,NONE,0,2019-06-24T11:22:18.439748
2816.0,2639.0,6155.0,9605.0,6564.0,-1224.0,230.0,0,0,0,NONE,0,2019-06-24T11:22:18.738017
2825.0,2612.0,6261.0,9558.0,6559.0,-1271.0,229.0,0,0,0,NONE,0,2019-06-24T11:22:19.007428
2794.0,2656.0,6237.0,9528.0,6578.0,-1279.0,220.0,0,0,0,NONE,0,2019-06-24T11:22:19.290790
2874.0,2621.0,6240.0,9591.0,6514.0,-1220.0,187.0,0,0,0,NONE,0,2019-06-24T11:22:19.573940
2814.0,2672.0,6230.0,9536.0,6562.0,-1263.0,220.0,0,0,0,NONE,0,2019-06-24T11:22:19.873102
2822.0,2656.0,6200.0,9573.0,6467.0,-1291.0,255.0,0,0,0,NONE,0,2019-06-24T11:22:20.141762
2851.0,2623.0,6242.0,9518.0,6534.0,-1257.0,237.0,0,0,0,NONE,0,2019-06-24T11:22:20.424951
2796.0,2653.0,6211.0,9513.0,6499.0,-1266.0,248.0,0,0,0,NONE,0,2019-06-24T11:22:20.708182
2816.0,2671.0,6279.0,9551.0,6516.0,-1218.0,325.0,0,0,0,NONE,0,2019-06-24T11:22:21.008341
2786.0,2595.0,6172.0,9570.0,6452.0,-1273.0,268.0,0,0,0,NONE,0,2019-06-24T11:22:21.275915
2770.0,2703.0,6160.0,9571.0,6453.0,-1258.0,270.0,0,0,0,NONE,0,2019-06-24T11:22:21.559291
