seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-12761.0,-678.0,1887.0,3653.0,16059.0,-4722.0,1534.0,0,0,0,NONE,0,2019-06-20T18:57:29.906970
-12773.0,-657.0,1878.0,3665.0,16090.0,-4703.0,1588.0,0,0,0,NONE,0,2019-06-20T18:57:30.144354
-12745.0,-674.0,1913.0,3635.0,16110.0,-4708.0,1499.0,0,0,0,NONE,0,2019-06-20T18:57:30.427610
-12788.0,-697.0,1914.0,3700.0,16070.0,-4693.0,1555.0,0,0,0,NONE,0,2019-06-20T18:57:30.733985
-12735.0,-700.0,1940.0,3656.0,16064.0,-4713.0,1509.0,0,0,0,NONE,0,2019-06-20T18:57:30.996625
-12757.0,-663.0,1838.0,3684.0,16116.0,-4722.0,1528.0,0,0,0,NONE,0,2019-06-20T18:57:31.279935
-12793.0,-665.0,1853.0,3697.0,16075.0,-4741.0,1517.0,0,0,0,NONE,0,2019-06-20T18:57:31.564402
-12849.0,-623.0,1947.0,3743.0,16097.0,-4667.0,1452.0,0,0,0,NONE,0,2019-06-20T18:57:31.870625
-12685.0,-683.0,1946.0,3605.0,16065.0,-4692.0,1473.0,0,0,0,NONE,0,2019-06-20T18:57:32.132350
-12744.0,-628.0,1930.0,3657.0,16073.0,-4667.0,1482.0,0,0,0,NONE,0,2019-06-20T18:57:32.416785
-12848.0,-617.0,1906.0,3671.0,16106.0,-4687.0,1523.0,0,0,0,NONE,0,2019-06-20T18:57:32.700047
-12804.0,-679.0,1906.0,3681.0,16126.0,-4672.0,1503.0,0,0,0,NONE,0,2019-06-20T18:57:33.007099
-12772.0,-630.0,1942.0,3658.0,16071.0,-4743.0,1415.0,0,0,0,NONE,0,2019-06-20T18:57:33.268989
-12777.0,-651.0,1907.0,3647.0,16156.0,-4711.0,1483.0,0,0,0,NONE,0,2019-06-20T18:57:33.552334
-12824.0,-640.0,1927.0,3615.0,16080.0,-4701.0,1442.0,0,0,0,NONE,0,2019-06-20T18:57:33.836761
-12868.0,-636.0,1911.0,3703.0,16023.0,-4679.0,1427.0,0,0,0,NONE,0,2019-06-20T18:57:34.143572
-12787.0,-645.0,1930.0,3670.0,16077.0,-4743.0,1417.0,0,0,0,NONE,0,2019-06-20T18:57:34.405027
-12834.0,-682.0,1889.0,3634.0,16085.0,-4666.0,1415.0,0,0,0,NONE,0,2019-06-20T18:57:34.689589
-12791.0,-665.0,1916.0,3683.0,16113.0,-4710.0,1367.0,0,0,0,NONE,0,2019-06-20T18:57:34.972918
-12763.0,-656.0,1924.0,3647.0,16174.0,-4630.0,1427.0,0,0,0,NONE,0,2019-06-20T18:57:35.280537
