seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
5602.0,4080.0,2234.0,11211.0,9436.0,440.0,514.0,0,0,0,NONE,0,2019-06-24T11:31:33.217038
5562.0,4032.0,2284.0,11204.0,9551.0,414.0,516.0,0,0,0,NONE,0,2019-06-24T11:31:33.500310
5629.0,4131.0,2254.0,11236.0,9527.0,384.0,497.0,0,0,0,NONE,0,2019-06-24T11:31:33.790437
5603.0,4098.0,2181.0,11216.0,9542.0,468.0,516.0,0,0,0,NONE,0,2019-06-24T11:31:34.068144
5674.0,4076.0,2139.0,11149.0,9525.0,462.0,520.0,0,0,0,NONE,0,2019-06-24T11:31:34.351213
5663.0,4063.0,2272.0,11147.0,9475.0,475.0,533.0,0,0,0,NONE,0,2019-06-24T11:31:34.634545
5673.0,4035.0,2181.0,11265.0,9503.0,449.0,483.0,0,0,0,NONE,0,2019-06-24T11:31:34.925611
5645.0,4036.0,2144.0,11208.0,9522.0,442.0,498.0,0,0,0,NONE,0,2019-06-24T11:31:35.202193
5652.0,4098.0,2147.0,11258.0,9546.0,438.0,489.0,0,0,0,NONE,0,2019-06-24T11:31:35.485437
5570.0,4072.0,2152.0,11205.0,9521.0,461.0,487.0,0,0,0,NONE,0,2019-06-24T11:31:35.768612
5664.0,4089.0,2137.0,11213.0,9530.0,462.0,472.0,0,0,0,NONE,0,2019-06-24T11:31:36.060972
5649.0,4048.0,2139.0,11135.0,9529.0,478.0,444.0,0,0,0,NONE,0,2019-06-24T11:31:36.336506
5621.0,4089.0,2173.0,11191.0,9523.0,461.0,492.0,0,0,0,NONE,0,2019-06-24T11:31:36.619882
5695.0,4073.0,2097.0,11218.0,9463.0,480.0,481.0,0,0,0,NONE,0,2019-06-24T11:31:36.902988
5673.0,4083.0,2106.0,11209.0,9541.0,494.0,502.0,0,0,0,NONE,0,2019-06-24T11:31:37.197488
5621.0,4067.0,2083.0,11139.0,9500.0,474.0,490.0,0,0,0,NONE,0,2019-06-24T11:31:37.469681
5679.0,4125.0,2128.0,11117.0,9535.0,442.0,486.0,0,0,0,NONE,0,2019-06-24T11:31:37.754191
5663.0,4144.0,2109.0,11130.0,9536.0,565.0,460.0,0,0,0,NONE,0,2019-06-24T11:31:38.037493
5629.0,4058.0,2007.0,11202.0,9519.0,530.0,425.0,0,0,0,NONE,0,2019-06-24T11:31:38.332888
5664.0,4133.0,2080.0,11126.0,9538.0,527.0,472.0,0,0,0,NONE,0,2019-06-24T11:31:38.604210
