seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
2817.0,2427.0,6845.0,9396.0,6271.0,-1053.0,65.0,0,0,0,NONE,0,2019-06-24T11:23:18.557183
2858.0,2451.0,6760.0,9432.0,6234.0,-1112.0,84.0,0,0,0,NONE,0,2019-06-24T11:23:18.840629
2804.0,2379.0,6864.0,9410.0,6226.0,-1066.0,17.0,0,0,0,NONE,0,2019-06-24T11:23:19.125078
2905.0,2379.0,6841.0,9399.0,6262.0,-1056.0,28.0,0,0,0,NONE,0,2019-06-24T11:23:19.408243
2883.0,2395.0,6737.0,9393.0,6240.0,-1067.0,28.0,0,0,0,NONE,0,2019-06-24T11:23:19.691534
2856.0,2354.0,6747.0,9434.0,6168.0,-1100.0,24.0,0,0,0,NONE,0,2019-06-24T11:23:19.974750
2904.0,2349.0,6743.0,9374.0,6188.0,-1069.0,35.0,0,0,0,NONE,0,2019-06-24T11:23:20.259476
2921.0,2376.0,6750.0,9393.0,6219.0,-1045.0,61.0,0,0,0,NONE,0,2019-06-24T11:23:20.542555
2905.0,2306.0,6726.0,9373.0,6195.0,-1081.0,28.0,0,0,0,NONE,0,2019-06-24T11:23:20.825732
2916.0,2350.0,6706.0,9377.0,6234.0,-1098.0,46.0,0,0,0,NONE,0,2019-06-24T11:23:21.110322
2902.0,2294.0,6737.0,9396.0,6219.0,-1110.0,60.0,0,0,0,NONE,0,2019-06-24T11:23:21.394454
2894.0,2286.0,6800.0,9360.0,6210.0,-1112.0,40.0,0,0,0,NONE,0,2019-06-24T11:23:21.676798
2891.0,2287.0,6775.0,9360.0,6216.0,-1122.0,63.0,0,0,0,NONE,0,2019-06-24T11:23:21.960067
2863.0,2257.0,6767.0,9313.0,6221.0,-1100.0,52.0,0,0,0,NONE,0,2019-06-24T11:23:22.244640
2879.0,2276.0,6716.0,9312.0,6228.0,-1088.0,74.0,0,0,0,NONE,0,2019-06-24T11:23:22.529801
2893.0,2228.0,6731.0,9361.0,6210.0,-1154.0,47.0,0,0,0,NONE,0,2019-06-24T11:23:22.811013
2894.0,2205.0,6741.0,9320.0,6284.0,-1112.0,80.0,0,0,0,NONE,0,2019-06-24T11:23:23.095409
2945.0,2255.0,6710.0,9397.0,6256.0,-1140.0,48.0,0,0,0,NONE,0,2019-06-24T11:23:23.378705
2932.0,2222.0,6753.0,9370.0,6274.0,-1088.0,77.0,0,0,0,NONE,0,2019-06-24T11:23:23.664943
2921.0,2217.0,6641.0,9341.0,6358.0,-1135.0,52.0,0,0,0,NONE,0,2019-06-24T11:23:23.945339
