seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
4775.0,4594.0,3763.0,10995.0,8883.0,-946.0,685.0,0,0,0,NONE,0,2019-06-24T11:30:02.481406
4761.0,4583.0,3755.0,10955.0,8899.0,-937.0,729.0,0,0,0,NONE,0,2019-06-24T11:30:02.764544
4769.0,4550.0,3748.0,10960.0,9018.0,-905.0,689.0,0,0,0,NONE,0,2019-06-24T11:30:03.053403
4789.0,4555.0,3742.0,10986.0,8896.0,-1016.0,729.0,0,0,0,NONE,0,2019-06-24T11:30:03.332413
4830.0,4565.0,3723.0,10939.0,8965.0,-900.0,710.0,0,0,0,NONE,0,2019-06-24T11:30:03.615460
4794.0,4561.0,3753.0,10975.0,8917.0,-897.0,710.0,0,0,0,NONE,0,2019-06-24T11:30:03.898801
4796.0,4563.0,3712.0,10934.0,8936.0,-936.0,728.0,0,0,0,NONE,0,2019-06-24T11:30:04.188422
4746.0,4563.0,3742.0,10961.0,8911.0,-991.0,763.0,0,0,0,NONE,0,2019-06-24T11:30:04.466615
4807.0,4555.0,3794.0,10909.0,8932.0,-927.0,731.0,0,0,0,NONE,0,2019-06-24T11:30:04.749929
4832.0,4558.0,3729.0,10889.0,8979.0,-901.0,754.0,0,0,0,NONE,0,2019-06-24T11:30:05.033170
4817.0,4567.0,3676.0,10886.0,8871.0,-900.0,757.0,0,0,0,NONE,0,2019-06-24T11:30:05.323741
4836.0,4562.0,3737.0,10922.0,8907.0,-903.0,734.0,0,0,0,NONE,0,2019-06-24T11:30:05.600901
4778.0,4567.0,3697.0,10941.0,8899.0,-879.0,724.0,0,0,0,NONE,0,2019-06-24T11:30:05.884113
4867.0,4565.0,3722.0,10934.0,8896.0,-892.0,754.0,0,0,0,NONE,0,2019-06-24T11:30:06.167334
4861.0,4536.0,3703.0,10957.0,8854.0,-881.0,633.0,0,0,0,NONE,0,2019-06-24T11:30:06.458952
4845.0,4528.0,3725.0,10897.0,8946.0,-908.0,681.0,0,0,0,NONE,0,2019-06-24T11:30:06.735059
4775.0,4592.0,3720.0,10958.0,8868.0,-893.0,772.0,0,0,0,NONE,0,2019-06-24T11:30:07.018694
4862.0,4559.0,3704.0,10995.0,8942.0,-930.0,741.0,0,0,0,NONE,0,2019-06-24T11:30:07.301775
4803.0,4562.0,3739.0,10961.0,8932.0,-896.0,711.0,0,0,0,NONE,0,2019-06-24T11:30:07.594334
4849.0,4584.0,3731.0,10954.0,8914.0,-896.0,750.0,0,0,0,NONE,0,2019-06-24T11:30:07.868202
