seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-13730.0,-554.0,2595.0,4049.0,16444.0,-4277.0,-953.0,0,0,0,NONE,0,2019-06-20T18:59:12.107613
-13776.0,-584.0,2587.0,4055.0,16506.0,-4313.0,-909.0,0,0,0,NONE,0,2019-06-20T18:59:12.390825
-13714.0,-549.0,2552.0,4106.0,16472.0,-4254.0,-929.0,0,0,0,NONE,0,2019-06-20T18:59:12.675411
-13782.0,-587.0,2551.0,4081.0,16509.0,-4338.0,-940.0,0,0,0,NONE,0,2019-06-20T18:59:12.958486
-13772.0,-517.0,2522.0,4124.0,16500.0,-4303.0,-955.0,0,0,0,NONE,0,2019-06-20T18:59:13.243749
-13758.0,-584.0,2577.0,4056.0,16491.0,-4333.0,-997.0,0,0,0,NONE,0,2019-06-20T18:59:13.527477
-13704.0,-560.0,2612.0,4087.0,16483.0,-4269.0,-968.0,0,0,0,NONE,0,2019-06-20T18:59:13.810807
-13724.0,-511.0,2573.0,4044.0,16510.0,-4333.0,-1094.0,0,0,0,NONE,0,2019-06-20T18:59:14.095335
-13747.0,-512.0,2568.0,4010.0,16482.0,-4259.0,-989.0,0,0,0,NONE,0,2019-06-20T18:59:14.380432
-13719.0,-585.0,2611.0,4082.0,16456.0,-4302.0,-1042.0,0,0,0,NONE,0,2019-06-20T18:59:14.663356
-13762.0,-529.0,2610.0,4124.0,16564.0,-4292.0,-1044.0,0,0,0,NONE,0,2019-06-20T18:59:14.947833
-13702.0,-627.0,2662.0,4078.0,16462.0,-4328.0,-1024.0,0,0,0,NONE,0,2019-06-20T18:59:15.231158
-13726.0,-530.0,2576.0,4010.0,16517.0,-4281.0,-1074.0,0,0,0,NONE,0,2019-06-20T18:59:15.517090
-13735.0,-559.0,2643.0,4053.0,16474.0,-4302.0,-1014.0,0,0,0,NONE,0,2019-06-20T18:59:15.798840
-13721.0,-581.0,2588.0,4039.0,16420.0,-4305.0,-1072.0,0,0,0,NONE,0,2019-06-20T18:59:16.083408
-13755.0,-550.0,2607.0,4068.0,16471.0,-4341.0,-1029.0,0,0,0,NONE,0,2019-06-20T18:59:16.367830
-13670.0,-545.0,2598.0,4091.0,16493.0,-4308.0,-1075.0,0,0,0,NONE,0,2019-06-20T18:59:16.653592
-13724.0,-521.0,2631.0,4037.0,16538.0,-4241.0,-1060.0,0,0,0,NONE,0,2019-06-20T18:59:16.935552
-13726.0,-591.0,2565.0,4073.0,16530.0,-4295.0,-1028.0,0,0,0,NONE,0,2019-06-20T18:59:17.220147
-13732.0,-536.0,2621.0,4077.0,16503.0,-4262.0,-1023.0,0,0,0,NONE,0,2019-06-20T18:59:17.503367
