seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-11687.0,-2408.0,4506.0,1979.0,-1401.0,-5389.0,4552.0,0,0,0,NONE,0,2019-06-20T19:02:08.219908
-11626.0,-2483.0,4501.0,2043.0,-1409.0,-5337.0,4577.0,0,0,0,NONE,0,2019-06-20T19:02:08.503960
-11638.0,-2421.0,4480.0,2027.0,-1440.0,-5400.0,4584.0,0,0,0,NONE,0,2019-06-20T19:02:08.811411
-11638.0,-2406.0,4499.0,2021.0,-1411.0,-5417.0,4638.0,0,0,0,NONE,0,2019-06-20T19:02:09.071901
-11640.0,-2461.0,4528.0,2044.0,-1435.0,-5357.0,4616.0,0,0,0,NONE,0,2019-06-20T19:02:09.356328
-11609.0,-2433.0,4580.0,1973.0,-1430.0,-5459.0,4678.0,0,0,0,NONE,0,2019-06-20T19:02:09.639648
-11643.0,-2469.0,4535.0,2047.0,-1524.0,-5486.0,4664.0,0,0,0,NONE,0,2019-06-20T19:02:09.947881
-11569.0,-2420.0,4558.0,2001.0,-1515.0,-5496.0,4679.0,0,0,0,NONE,0,2019-06-20T19:02:10.208670
-11614.0,-2489.0,4498.0,1987.0,-1599.0,-5492.0,4714.0,0,0,0,NONE,0,2019-06-20T19:02:10.492001
-11553.0,-2428.0,4460.0,1994.0,-1570.0,-5538.0,4713.0,0,0,0,NONE,0,2019-06-20T19:02:10.776425
-11584.0,-2467.0,4501.0,2042.0,-1659.0,-5588.0,4718.0,0,0,0,NONE,0,2019-06-20T19:02:11.084508
-11521.0,-2491.0,4494.0,2015.0,-1664.0,-5504.0,4766.0,0,0,0,NONE,0,2019-06-20T19:02:11.344597
-11537.0,-2444.0,4504.0,2006.0,-1695.0,-5616.0,4761.0,0,0,0,NONE,0,2019-06-20T19:02:11.627932
-11518.0,-2504.0,4476.0,1934.0,-1756.0,-5563.0,4718.0,0,0,0,NONE,0,2019-06-20T19:02:11.912728
-11523.0,-2477.0,4526.0,2015.0,-1836.0,-5526.0,4810.0,0,0,0,NONE,0,2019-06-20T19:02:12.197053
-11488.0,-2458.0,4466.0,1945.0,-1761.0,-5582.0,4823.0,0,0,0,NONE,0,2019-06-20T19:02:12.480366
-11480.0,-2490.0,4484.0,2058.0,-1843.0,-5457.0,4843.0,0,0,0,NONE,0,2019-06-20T19:02:12.764971
-11462.0,-2465.0,4438.0,1937.0,-1829.0,-5453.0,4858.0,0,0,0,NONE,0,2019-06-20T19:02:13.049418
-11495.0,-2475.0,4536.0,2039.0,-1887.0,-5489.0,4806.0,0,0,0,NONE,0,2019-06-20T19:02:13.356401
-11453.0,-2535.0,4521.0,2066.0,-1884.0,-5523.0,4889.0,0,0,0,NONE,0,2019-06-20T19:02:13.617094
