seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-12720.0,-964.0,4298.0,2949.0,10352.0,-5618.0,569.0,0,0,0,NONE,0,2019-06-20T19:00:37.317415
-12718.0,-975.0,4262.0,2914.0,10273.0,-5642.0,591.0,0,0,0,NONE,0,2019-06-20T19:00:37.601937
-12768.0,-1028.0,4312.0,2884.0,10183.0,-5670.0,627.0,0,0,0,NONE,0,2019-06-20T19:00:37.885203
-12738.0,-994.0,4276.0,2934.0,10193.0,-5577.0,575.0,0,0,0,NONE,0,2019-06-20T19:00:38.192530
-12750.0,-986.0,4330.0,2973.0,10147.0,-5597.0,605.0,0,0,0,NONE,0,2019-06-20T19:00:38.452928
-12758.0,-984.0,4314.0,2902.0,10100.0,-5587.0,675.0,0,0,0,NONE,0,2019-06-20T19:00:38.737362
-12710.0,-1007.0,4350.0,2913.0,10091.0,-5673.0,602.0,0,0,0,NONE,0,2019-06-20T19:00:39.022072
-12783.0,-1068.0,4366.0,2930.0,10016.0,-5570.0,639.0,0,0,0,NONE,0,2019-06-20T19:00:39.328798
-12723.0,-1022.0,4325.0,2932.0,9938.0,-5698.0,652.0,0,0,0,NONE,0,2019-06-20T19:00:39.589693
-12747.0,-1008.0,4365.0,2851.0,9950.0,-5597.0,658.0,0,0,0,NONE,0,2019-06-20T19:00:39.872953
-12742.0,-1050.0,4362.0,2931.0,9823.0,-5646.0,670.0,0,0,0,NONE,0,2019-06-20T19:00:40.157438
-12759.0,-1031.0,4326.0,2896.0,9858.0,-5618.0,719.0,0,0,0,NONE,0,2019-06-20T19:00:40.441920
-12791.0,-1036.0,4351.0,2939.0,9797.0,-5624.0,700.0,0,0,0,NONE,0,2019-06-20T19:00:40.725108
-12704.0,-1023.0,4360.0,2921.0,9755.0,-5607.0,711.0,0,0,0,NONE,0,2019-06-20T19:00:41.009687
-12797.0,-1035.0,4316.0,2901.0,9703.0,-5640.0,721.0,0,0,0,NONE,0,2019-06-20T19:00:41.294139
-12759.0,-1075.0,4354.0,2950.0,9680.0,-5631.0,747.0,0,0,0,NONE,0,2019-06-20T19:00:41.577362
-12749.0,-1065.0,4320.0,2948.0,9686.0,-5597.0,738.0,0,0,0,NONE,0,2019-06-20T19:00:41.862228
-12804.0,-1147.0,4336.0,2936.0,9590.0,-5605.0,725.0,0,0,0,NONE,0,2019-06-20T19:00:42.145442
-12798.0,-1101.0,4336.0,2970.0,9473.0,-5585.0,773.0,0,0,0,NONE,0,2019-06-20T19:00:42.430244
-12797.0,-1062.0,4364.0,2911.0,9493.0,-5515.0,806.0,0,0,0,NONE,0,2019-06-20T19:00:42.714700
