seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
3659.0,3308.0,5798.0,9498.0,7362.0,-1444.0,-849.0,0,0,0,NONE,0,2019-06-24T11:24:54.979785
3640.0,3320.0,5824.0,9554.0,7376.0,-1420.0,-801.0,0,0,0,NONE,0,2019-06-24T11:24:55.262875
3670.0,3266.0,5777.0,9608.0,7359.0,-1387.0,-828.0,0,0,0,NONE,0,2019-06-24T11:24:55.547339
3721.0,3342.0,5823.0,9591.0,7373.0,-1434.0,-845.0,0,0,0,NONE,0,2019-06-24T11:24:55.846535
3675.0,3339.0,5775.0,9585.0,7425.0,-1448.0,-813.0,0,0,0,NONE,0,2019-06-24T11:24:56.113831
3673.0,3349.0,5779.0,9600.0,7359.0,-1382.0,-821.0,0,0,0,NONE,0,2019-06-24T11:24:56.397097
3723.0,3310.0,5737.0,9626.0,7296.0,-1372.0,-800.0,0,0,0,NONE,0,2019-06-24T11:24:56.681628
3689.0,3361.0,5661.0,9629.0,7336.0,-1375.0,-865.0,0,0,0,NONE,0,2019-06-24T11:24:56.982013
3755.0,3354.0,5761.0,9607.0,7318.0,-1443.0,-816.0,0,0,0,NONE,0,2019-06-24T11:24:57.248071
3745.0,3354.0,5755.0,9623.0,7328.0,-1400.0,-904.0,0,0,0,NONE,0,2019-06-24T11:24:57.531399
3727.0,3362.0,5726.0,9621.0,7404.0,-1390.0,-834.0,0,0,0,NONE,0,2019-06-24T11:24:57.816118
3738.0,3393.0,5688.0,9644.0,7388.0,-1410.0,-843.0,0,0,0,NONE,0,2019-06-24T11:24:58.117436
3750.0,3342.0,5711.0,9652.0,7400.0,-1401.0,-788.0,0,0,0,NONE,0,2019-06-24T11:24:58.382434
3741.0,3412.0,5652.0,9655.0,7344.0,-1377.0,-841.0,0,0,0,NONE,0,2019-06-24T11:24:58.665577
3763.0,3395.0,5619.0,9638.0,7355.0,-1403.0,-824.0,0,0,0,NONE,0,2019-06-24T11:24:58.950199
3789.0,3387.0,5660.0,9601.0,7415.0,-1321.0,-861.0,0,0,0,NONE,0,2019-06-24T11:24:59.252795
3812.0,3419.0,5631.0,9636.0,7379.0,-1381.0,-893.0,0,0,0,NONE,0,2019-06-24T11:24:59.516518
3745.0,3377.0,5580.0,9626.0,7364.0,-1355.0,-852.0,0,0,0,NONE,0,2019-06-24T11:24:59.799816
3858.0,3441.0,5598.0,9670.0,7420.0,-1407.0,-881.0,0,0,0,NONE,0,2019-06-24T11:25:00.084330
3808.0,3417.0,5580.0,9653.0,7391.0,-1368.0,-884.0,0,0,0,NONE,0,2019-06-24T11:25:00.389453
