seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
3025.0,2268.0,5857.0,9713.0,6949.0,-1184.0,-97.0,0,0,0,NONE,0,2019-06-24T11:22:04.828192
3043.0,2300.0,5860.0,9711.0,6897.0,-1185.0,-128.0,0,0,0,NONE,0,2019-06-24T11:22:05.112868
3013.0,2264.0,5836.0,9677.0,7032.0,-1204.0,-15.0,0,0,0,NONE,0,2019-06-24T11:22:05.395955
3059.0,2232.0,5866.0,9681.0,6902.0,-1220.0,-40.0,0,0,0,NONE,0,2019-06-24T11:22:05.679176
3029.0,2300.0,5883.0,9725.0,6933.0,-1209.0,-95.0,0,0,0,NONE,0,2019-06-24T11:22:05.962493
3006.0,2316.0,5902.0,9723.0,6934.0,-1208.0,-31.0,0,0,0,NONE,0,2019-06-24T11:22:06.247195
3024.0,2286.0,5934.0,9710.0,6891.0,-1137.0,-74.0,0,0,0,NONE,0,2019-06-24T11:22:06.530362
2972.0,2323.0,5933.0,9718.0,6994.0,-1184.0,-23.0,0,0,0,NONE,0,2019-06-24T11:22:06.813585
3000.0,2254.0,5914.0,9737.0,6948.0,-1149.0,-62.0,0,0,0,NONE,0,2019-06-24T11:22:07.096811
2973.0,2344.0,5912.0,9660.0,6910.0,-1144.0,-63.0,0,0,0,NONE,0,2019-06-24T11:22:07.382593
2992.0,2338.0,5939.0,9688.0,6939.0,-1252.0,-27.0,0,0,0,NONE,0,2019-06-24T11:22:07.664547
3001.0,2352.0,5999.0,9689.0,6921.0,-1166.0,-31.0,0,0,0,NONE,0,2019-06-24T11:22:07.947809
2991.0,2375.0,6025.0,9673.0,6884.0,-1177.0,-15.0,0,0,0,NONE,0,2019-06-24T11:22:08.231456
3026.0,2354.0,6006.0,9666.0,6843.0,-1199.0,-40.0,0,0,0,NONE,0,2019-06-24T11:22:08.517837
3043.0,2390.0,5992.0,9676.0,6838.0,-1246.0,1.0,0,0,0,NONE,0,2019-06-24T11:22:08.798733
3048.0,2424.0,5971.0,9616.0,6887.0,-1182.0,2.0,0,0,0,NONE,0,2019-06-24T11:22:09.082058
3008.0,2407.0,6087.0,9670.0,6895.0,-1262.0,-43.0,0,0,0,NONE,0,2019-06-24T11:22:09.365556
3047.0,2399.0,6078.0,9666.0,6854.0,-1166.0,-25.0,0,0,0,NONE,0,2019-06-24T11:22:09.653110
2983.0,2360.0,6073.0,9641.0,6834.0,-1259.0,-19.0,0,0,0,NONE,0,2019-06-24T11:22:09.933332
3009.0,2442.0,6104.0,9681.0,6756.0,-1215.0,-2.0,0,0,0,NONE,0,2019-06-24T11:22:10.216480
