seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
4606.0,4382.0,4414.0,10773.0,9314.0,-2533.0,861.0,0,0,0,NONE,0,2019-06-24T11:28:48.749170
4615.0,4422.0,4366.0,10827.0,9253.0,-2536.0,885.0,0,0,0,NONE,0,2019-06-24T11:28:49.040375
4603.0,4403.0,4394.0,10862.0,9218.0,-2459.0,888.0,0,0,0,NONE,0,2019-06-24T11:28:49.316875
4603.0,4372.0,4423.0,10813.0,9285.0,-2491.0,885.0,0,0,0,NONE,0,2019-06-24T11:28:49.600177
4599.0,4349.0,4386.0,10792.0,9193.0,-2442.0,908.0,0,0,0,NONE,0,2019-06-24T11:28:49.883392
4552.0,4397.0,4446.0,10911.0,9145.0,-2428.0,841.0,0,0,0,NONE,0,2019-06-24T11:28:50.175660
4571.0,4382.0,4388.0,10855.0,9194.0,-2454.0,863.0,0,0,0,NONE,0,2019-06-24T11:28:50.451562
4579.0,4347.0,4433.0,10838.0,9145.0,-2441.0,849.0,0,0,0,NONE,0,2019-06-24T11:28:50.734382
4606.0,4324.0,4399.0,10862.0,9227.0,-2440.0,902.0,0,0,0,NONE,0,2019-06-24T11:28:51.019018
4610.0,4372.0,4449.0,10883.0,9203.0,-2406.0,879.0,0,0,0,NONE,0,2019-06-24T11:28:51.310980
4576.0,4448.0,4393.0,10873.0,9165.0,-2387.0,865.0,0,0,0,NONE,0,2019-06-24T11:28:51.585429
4614.0,4306.0,4430.0,10832.0,9182.0,-2479.0,787.0,0,0,0,NONE,0,2019-06-24T11:28:51.868678
4600.0,4359.0,4456.0,10844.0,9194.0,-2464.0,852.0,0,0,0,NONE,0,2019-06-24T11:28:52.153283
4558.0,4352.0,4398.0,10855.0,9160.0,-2459.0,821.0,0,0,0,NONE,0,2019-06-24T11:28:52.446318
4635.0,4404.0,4433.0,10802.0,9120.0,-2447.0,834.0,0,0,0,NONE,0,2019-06-24T11:28:52.719754
4563.0,4327.0,4430.0,10828.0,9195.0,-2460.0,855.0,0,0,0,NONE,0,2019-06-24T11:28:53.003008
4563.0,4335.0,4383.0,10863.0,9186.0,-2417.0,807.0,0,0,0,NONE,0,2019-06-24T11:28:53.287414
4600.0,4352.0,4464.0,10829.0,9122.0,-2416.0,887.0,0,0,0,NONE,0,2019-06-24T11:28:53.581559
4594.0,4286.0,4434.0,10861.0,9123.0,-2376.0,861.0,0,0,0,NONE,0,2019-06-24T11:28:53.854053
4618.0,4310.0,4433.0,10792.0,9079.0,-2465.0,840.0,0,0,0,NONE,0,2019-06-24T11:28:54.137326
