seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
6640.0,2870.0,1268.0,11582.0,10334.0,3408.0,-88.0,0,0,0,NONE,0,2019-06-24T11:34:23.337891
6590.0,2863.0,1243.0,11626.0,10256.0,3487.0,-126.0,0,0,0,NONE,0,2019-06-24T11:34:23.621226
6613.0,2859.0,1235.0,11589.0,10333.0,3424.0,-114.0,0,0,0,NONE,0,2019-06-24T11:34:23.904675
6638.0,2868.0,1288.0,11653.0,10266.0,3414.0,-142.0,0,0,0,NONE,0,2019-06-24T11:34:24.187790
6631.0,2855.0,1256.0,11618.0,10257.0,3417.0,-182.0,0,0,0,NONE,0,2019-06-24T11:34:24.472299
6628.0,2853.0,1297.0,11585.0,10326.0,3444.0,-169.0,0,0,0,NONE,0,2019-06-24T11:34:24.755406
6693.0,2838.0,1274.0,11610.0,10343.0,3501.0,-128.0,0,0,0,NONE,0,2019-06-24T11:34:25.039328
6703.0,2885.0,1228.0,11687.0,10304.0,3465.0,-161.0,0,0,0,NONE,0,2019-06-24T11:34:25.321958
6680.0,2888.0,1209.0,11589.0,10309.0,3464.0,-210.0,0,0,0,NONE,0,2019-06-24T11:34:25.606376
6682.0,2830.0,1215.0,11577.0,10305.0,3496.0,-103.0,0,0,0,NONE,0,2019-06-24T11:34:25.889700
6671.0,2880.0,1250.0,11673.0,10306.0,3446.0,-161.0,0,0,0,NONE,0,2019-06-24T11:34:26.174496
6741.0,2863.0,1289.0,11620.0,10302.0,3501.0,-102.0,0,0,0,NONE,0,2019-06-24T11:34:26.456079
6684.0,2855.0,1200.0,11621.0,10293.0,3459.0,-156.0,0,0,0,NONE,0,2019-06-24T11:34:26.739425
6687.0,2839.0,1231.0,11594.0,10338.0,3472.0,-119.0,0,0,0,NONE,0,2019-06-24T11:34:27.023821
6691.0,2845.0,1201.0,11681.0,10424.0,3579.0,-162.0,0,0,0,NONE,0,2019-06-24T11:34:27.309823
6660.0,2807.0,1250.0,11651.0,10409.0,3522.0,-150.0,0,0,0,NONE,0,2019-06-24T11:34:27.590465
6617.0,2833.0,1227.0,11630.0,10369.0,3549.0,-129.0,0,0,0,NONE,0,2019-06-24T11:34:27.873700
6658.0,2855.0,1223.0,11682.0,10368.0,3542.0,-194.0,0,0,0,NONE,0,2019-06-24T11:34:28.157173
6648.0,2811.0,1218.0,11666.0,10447.0,3502.0,-149.0,0,0,0,NONE,0,2019-06-24T11:34:28.446311
6630.0,2792.0,1243.0,11640.0,10428.0,3550.0,-227.0,0,0,0,NONE,0,2019-06-24T11:34:28.724729
