seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
4604.0,4391.0,4244.0,10857.0,8731.0,-1836.0,662.0,0,0,0,NONE,0,2019-06-24T11:29:28.470961
4664.0,4336.0,4206.0,10896.0,8718.0,-1862.0,766.0,0,0,0,NONE,0,2019-06-24T11:29:28.735188
4673.0,4329.0,4191.0,10874.0,8751.0,-1829.0,713.0,0,0,0,NONE,0,2019-06-24T11:29:29.018431
4655.0,4398.0,4164.0,10852.0,8795.0,-1851.0,787.0,0,0,0,NONE,0,2019-06-24T11:29:29.301726
4671.0,4343.0,4206.0,10903.0,8687.0,-1889.0,728.0,0,0,0,NONE,0,2019-06-24T11:29:29.606240
4680.0,4376.0,4214.0,10873.0,8739.0,-1911.0,714.0,0,0,0,NONE,0,2019-06-24T11:29:29.869477
4675.0,4366.0,4141.0,10852.0,8755.0,-1869.0,799.0,0,0,0,NONE,0,2019-06-24T11:29:30.152703
4634.0,4403.0,4181.0,10847.0,8759.0,-1874.0,758.0,0,0,0,NONE,0,2019-06-24T11:29:30.435922
4641.0,4379.0,4111.0,10793.0,8784.0,-1856.0,750.0,0,0,0,NONE,0,2019-06-24T11:29:30.741506
4633.0,4339.0,4167.0,10888.0,8721.0,-1861.0,803.0,0,0,0,NONE,0,2019-06-24T11:29:31.003883
4674.0,4397.0,4145.0,10916.0,8810.0,-1859.0,783.0,0,0,0,NONE,0,2019-06-24T11:29:31.286918
4688.0,4382.0,4155.0,10880.0,8744.0,-1854.0,765.0,0,0,0,NONE,0,2019-06-24T11:29:31.570214
4654.0,4366.0,4113.0,10903.0,8769.0,-1797.0,794.0,0,0,0,NONE,0,2019-06-24T11:29:31.878107
4605.0,4371.0,4141.0,10864.0,8811.0,-1808.0,777.0,0,0,0,NONE,0,2019-06-24T11:29:32.137894
4690.0,4320.0,4082.0,10838.0,8835.0,-1737.0,742.0,0,0,0,NONE,0,2019-06-24T11:29:32.421205
4677.0,4295.0,4034.0,10842.0,8802.0,-1815.0,776.0,0,0,0,NONE,0,2019-06-24T11:29:32.704517
4699.0,4296.0,4086.0,10920.0,8819.0,-1767.0,789.0,0,0,0,NONE,0,2019-06-24T11:29:32.988891
4697.0,4318.0,4094.0,10881.0,8736.0,-1778.0,761.0,0,0,0,NONE,0,2019-06-24T11:29:33.272188
4679.0,4351.0,4096.0,10857.0,8835.0,-1727.0,734.0,0,0,0,NONE,0,2019-06-24T11:29:33.555413
4694.0,4357.0,4101.0,10924.0,8825.0,-1753.0,761.0,0,0,0,NONE,0,2019-06-24T11:29:33.839075
