seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
5403.0,4429.0,2539.0,11081.0,8863.0,-164.0,662.0,0,0,0,NONE,0,2019-06-24T11:30:53.532766
5380.0,4436.0,2573.0,11111.0,8835.0,-122.0,623.0,0,0,0,NONE,0,2019-06-24T11:30:53.804246
5371.0,4496.0,2557.0,11081.0,8806.0,-114.0,744.0,0,0,0,NONE,0,2019-06-24T11:30:54.088645
5401.0,4470.0,2550.0,11114.0,8845.0,-77.0,654.0,0,0,0,NONE,0,2019-06-24T11:30:54.371816
5412.0,4434.0,2538.0,11073.0,8835.0,-55.0,695.0,0,0,0,NONE,0,2019-06-24T11:30:54.667703
5418.0,4457.0,2531.0,11142.0,8813.0,6.0,639.0,0,0,0,NONE,0,2019-06-24T11:30:54.938230
5421.0,4463.0,2533.0,11075.0,8835.0,-41.0,664.0,0,0,0,NONE,0,2019-06-24T11:30:55.221689
5398.0,4475.0,2522.0,11061.0,8850.0,8.0,620.0,0,0,0,NONE,0,2019-06-24T11:30:55.505892
5447.0,4407.0,2557.0,11129.0,8783.0,-18.0,647.0,0,0,0,NONE,0,2019-06-24T11:30:55.803000
5399.0,4417.0,2551.0,11116.0,8846.0,64.0,587.0,0,0,0,NONE,0,2019-06-24T11:30:56.072590
5447.0,4373.0,2508.0,11127.0,8777.0,53.0,613.0,0,0,0,NONE,0,2019-06-24T11:30:56.355770
5421.0,4443.0,2523.0,11114.0,8788.0,67.0,620.0,0,0,0,NONE,0,2019-06-24T11:30:56.639071
5441.0,4408.0,2522.0,11110.0,8808.0,179.0,654.0,0,0,0,NONE,0,2019-06-24T11:30:56.938343
5430.0,4438.0,2526.0,11116.0,8828.0,143.0,668.0,0,0,0,NONE,0,2019-06-24T11:30:57.207050
5441.0,4443.0,2550.0,11022.0,8857.0,126.0,598.0,0,0,0,NONE,0,2019-06-24T11:30:57.490333
5454.0,4426.0,2579.0,11046.0,8767.0,204.0,597.0,0,0,0,NONE,0,2019-06-24T11:30:57.773483
5530.0,4414.0,2533.0,11116.0,8854.0,196.0,519.0,0,0,0,NONE,0,2019-06-24T11:30:58.074945
5509.0,4435.0,2490.0,11125.0,8869.0,170.0,560.0,0,0,0,NONE,0,2019-06-24T11:30:58.341294
5452.0,4402.0,2497.0,11141.0,8888.0,203.0,594.0,0,0,0,NONE,0,2019-06-24T11:30:58.624496
5466.0,4355.0,2523.0,11114.0,8773.0,228.0,571.0,0,0,0,NONE,0,2019-06-24T11:30:58.907806
