seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-12335.0,-969.0,1293.0,3712.0,-4566.0,2198.0,0,0,0,NONE,0,2019-06-20T18:56:55.775691
-12399.0,-957.0,1341.0,3694.0,15063.0,-4563.0,2216.0,0,0,0,NONE,0,2019-06-20T18:56:56.060791
-12407.0,-908.0,1307.0,3635.0,15008.0,-4661.0,2191.0,0,0,0,NONE,0,2019-06-20T18:56:56.343874
-12362.0,-877.0,1284.0,3732.0,15154.0,-4543.0,2181.0,0,0,0,NONE,0,2019-06-20T18:56:56.638321
-12353.0,-908.0,1361.0,3658.0,15132.0,-4511.0,2234.0,0,0,0,NONE,0,2019-06-20T18:56:56.912932
-12400.0,-875.0,1334.0,3726.0,15151.0,-4586.0,2205.0,0,0,0,NONE,0,2019-06-20T18:56:57.196136
-12434.0,-941.0,1390.0,3665.0,15112.0,-4651.0,2209.0,0,0,0,NONE,0,2019-06-20T18:56:57.480702
-12392.0,-903.0,1369.0,3694.0,15088.0,-4655.0,2178.0,0,0,0,NONE,0,2019-06-20T18:56:57.774837
-12478.0,-883.0,1381.0,3688.0,15077.0,-4654.0,2190.0,0,0,0,NONE,0,2019-06-20T18:56:58.048496
-12391.0,-888.0,1324.0,3607.0,15098.0,-4593.0,2154.0,0,0,0,NONE,0,2019-06-20T18:56:58.333071
-12431.0,-885.0,1368.0,3668.0,15111.0,-4649.0,2164.0,0,0,0,NONE,0,2019-06-20T18:56:58.616244
-12447.0,-953.0,1363.0,3713.0,15122.0,-4632.0,2131.0,0,0,0,NONE,0,2019-06-20T18:56:58.911323
-12467.0,-930.0,1331.0,3640.0,15097.0,-4703.0,2102.0,0,0,0,NONE,0,2019-06-20T18:56:59.184135
-12416.0,-893.0,1412.0,3668.0,15103.0,-4570.0,2127.0,0,0,0,NONE,0,2019-06-20T18:56:59.468638
-12520.0,-921.0,1425.0,3649.0,15116.0,-4659.0,2120.0,0,0,0,NONE,0,2019-06-20T18:56:59.753180
-12462.0,-883.0,1383.0,3703.0,15138.0,-4596.0,2133.0,0,0,0,NONE,0,2019-06-20T18:57:00.047945
-12439.0,-967.0,1457.0,3627.0,15036.0,-4659.0,2128.0,0,0,0,NONE,0,2019-06-20T18:57:00.320969
-12404.0,-878.0,1390.0,3692.0,15180.0,-4689.0,2101.0,0,0,0,NONE,0,2019-06-20T18:57:00.605586
-12412.0,-907.0,1407.0,3711.0,15112.0,-4658.0,2084.0,0,0,0,NONE,0,2019-06-20T18:57:00.888661
-12478.0,-890.0,1413.0,3716.0,15116.0,-4707.0,2100.0,0,0,0,NONE,0,2019-06-20T18:57:01.184457
