seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
3374.0,2724.0,6406.0,9242.0,7198.0,-1640.0,-382.0,0,0,0,NONE,0,2019-06-24T11:24:37.987563
3384.0,2748.0,6442.0,9284.0,7197.0,-1630.0,-381.0,0,0,0,NONE,0,2019-06-24T11:24:38.247487
3428.0,2790.0,6394.0,9219.0,7100.0,-1642.0,-430.0,0,0,0,NONE,0,2019-06-24T11:24:38.532123
3374.0,2759.0,6418.0,9281.0,7129.0,-1592.0,-469.0,0,0,0,NONE,0,2019-06-24T11:24:38.815333
3485.0,2777.0,6399.0,9335.0,7115.0,-1608.0,-388.0,0,0,0,NONE,0,2019-06-24T11:24:39.098515
3460.0,2719.0,6374.0,9309.0,7163.0,-1613.0,-424.0,0,0,0,NONE,0,2019-06-24T11:24:39.383061
3373.0,2782.0,6311.0,9347.0,7136.0,-1559.0,-468.0,0,0,0,NONE,0,2019-06-24T11:24:39.666306
3459.0,2754.0,6386.0,9354.0,7122.0,-1507.0,-407.0,0,0,0,NONE,0,2019-06-24T11:24:39.949791
3408.0,2764.0,6337.0,9276.0,7151.0,-1510.0,-411.0,0,0,0,NONE,0,2019-06-24T11:24:40.232844
3455.0,2796.0,6313.0,9384.0,7219.0,-1500.0,-443.0,0,0,0,NONE,0,2019-06-24T11:24:40.517370
3449.0,2807.0,6348.0,9332.0,7231.0,-1535.0,-450.0,0,0,0,NONE,0,2019-06-24T11:24:40.800772
3417.0,2794.0,6346.0,9302.0,7220.0,-1537.0,-469.0,0,0,0,NONE,0,2019-06-24T11:24:41.085198
3418.0,2750.0,6332.0,9357.0,7174.0,-1518.0,-431.0,0,0,0,NONE,0,2019-06-24T11:24:41.367412
3477.0,2804.0,6363.0,9399.0,7173.0,-1476.0,-467.0,0,0,0,NONE,0,2019-06-24T11:24:41.651812
3486.0,2865.0,6292.0,9398.0,7246.0,-1403.0,-515.0,0,0,0,NONE,0,2019-06-24T11:24:41.935113
3448.0,2811.0,6344.0,9359.0,7221.0,-1515.0,-455.0,0,0,0,NONE,0,2019-06-24T11:24:42.220607
3465.0,2822.0,6313.0,9434.0,7223.0,-1468.0,-475.0,0,0,0,NONE,0,2019-06-24T11:24:42.501702
3397.0,2885.0,6300.0,9386.0,7203.0,-1449.0,-485.0,0,0,0,NONE,0,2019-06-24T11:24:42.786135
3397.0,2870.0,6284.0,9412.0,7153.0,-1367.0,-551.0,0,0,0,NONE,0,2019-06-24T11:24:43.069423
3470.0,2831.0,6314.0,9440.0,7207.0,-1446.0,-482.0,0,0,0,NONE,0,2019-06-24T11:24:43.355802
