seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
5957.0,3775.0,2012.0,11302.0,9876.0,1249.0,-79.0,0,0,0,NONE,0,2019-06-24T11:32:24.268898
5895.0,3852.0,1973.0,11274.0,9820.0,1239.0,-115.0,0,0,0,NONE,0,2019-06-24T11:32:24.536393
5919.0,3710.0,1976.0,11200.0,9892.0,1270.0,-20.0,0,0,0,NONE,0,2019-06-24T11:32:24.820862
5943.0,3833.0,2023.0,11314.0,9818.0,1219.0,-78.0,0,0,0,NONE,0,2019-06-24T11:32:25.104193
5893.0,3738.0,1996.0,11334.0,9866.0,1317.0,-96.0,0,0,0,NONE,0,2019-06-24T11:32:25.404265
5878.0,3737.0,2018.0,11266.0,9884.0,1296.0,-69.0,0,0,0,NONE,0,2019-06-24T11:32:25.670591
5889.0,3778.0,2007.0,11255.0,9866.0,1292.0,-100.0,0,0,0,NONE,0,2019-06-24T11:32:25.953906
5957.0,3754.0,2011.0,11317.0,9892.0,1297.0,-109.0,0,0,0,NONE,0,2019-06-24T11:32:26.238369
5946.0,3781.0,2016.0,11315.0,9869.0,1325.0,-89.0,0,0,0,NONE,0,2019-06-24T11:32:26.539565
5933.0,3746.0,2046.0,11288.0,9900.0,1316.0,-106.0,0,0,0,NONE,0,2019-06-24T11:32:26.804889
5928.0,3770.0,2026.0,11285.0,9872.0,1356.0,-78.0,0,0,0,NONE,0,2019-06-24T11:32:27.088152
5946.0,3773.0,2056.0,11273.0,9902.0,1408.0,-148.0,0,0,0,NONE,0,2019-06-24T11:32:27.371578
5899.0,3781.0,2024.0,11269.0,9886.0,1411.0,-154.0,0,0,0,NONE,0,2019-06-24T11:32:27.676075
5878.0,3681.0,1961.0,11328.0,9897.0,1392.0,-151.0,0,0,0,NONE,0,2019-06-24T11:32:27.939327
5896.0,3747.0,2017.0,11316.0,9932.0,1404.0,-68.0,0,0,0,NONE,0,2019-06-24T11:32:28.222503
5872.0,3715.0,1970.0,11265.0,9866.0,1395.0,-165.0,0,0,0,NONE,0,2019-06-24T11:32:28.505775
5881.0,3723.0,1953.0,11278.0,9929.0,1366.0,-114.0,0,0,0,NONE,0,2019-06-24T11:32:28.811348
5888.0,3703.0,2011.0,11282.0,9910.0,1440.0,-122.0,0,0,0,NONE,0,2019-06-24T11:32:29.073502
5884.0,3745.0,2008.0,11281.0,9978.0,1440.0,-110.0,0,0,0,NONE,0,2019-06-24T11:32:29.356765
5869.0,3690.0,2034.0,11287.0,9972.0,1393.0,-102.0,0,0,0,NONE,0,2019-06-24T11:32:29.640227
