seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
6456.0,2849.0,1658.0,11620.0,9874.0,3082.0,-47.0,0,0,0,NONE,0,2019-06-24T11:34:06.355930
6494.0,2872.0,1626.0,11607.0,9863.0,3104.0,-79.0,0,0,0,NONE,0,2019-06-24T11:34:06.609495
6478.0,2825.0,1611.0,11607.0,9851.0,3038.0,-95.0,0,0,0,NONE,0,2019-06-24T11:34:06.892805
6509.0,2850.0,1581.0,11618.0,9839.0,3113.0,-26.0,0,0,0,NONE,0,2019-06-24T11:34:07.181696
6495.0,2838.0,1576.0,11602.0,9904.0,3036.0,-125.0,0,0,0,NONE,0,2019-06-24T11:34:07.459331
6526.0,2798.0,1558.0,11643.0,9865.0,3079.0,-63.0,0,0,0,NONE,0,2019-06-24T11:34:07.743694
6496.0,2797.0,1566.0,11654.0,9873.0,3083.0,-65.0,0,0,0,NONE,0,2019-06-24T11:34:08.026917
6482.0,2865.0,1544.0,11622.0,9923.0,3090.0,-45.0,0,0,0,NONE,0,2019-06-24T11:34:08.316947
6491.0,2859.0,1529.0,11631.0,9979.0,3137.0,-90.0,0,0,0,NONE,0,2019-06-24T11:34:08.593325
6509.0,2925.0,1552.0,11595.0,10010.0,3116.0,-102.0,0,0,0,NONE,0,2019-06-24T11:34:08.878074
6429.0,2853.0,1547.0,11584.0,9862.0,3109.0,-53.0,0,0,0,NONE,0,2019-06-24T11:34:09.161368
6513.0,2821.0,1534.0,11632.0,9928.0,3152.0,-60.0,0,0,0,NONE,0,2019-06-24T11:34:09.452200
6500.0,2843.0,1504.0,11637.0,9881.0,3151.0,-72.0,0,0,0,NONE,0,2019-06-24T11:34:09.727832
6560.0,2886.0,1457.0,11580.0,9962.0,3153.0,17.0,0,0,0,NONE,0,2019-06-24T11:34:10.011117
6491.0,2914.0,1524.0,11629.0,9949.0,3174.0,-48.0,0,0,0,NONE,0,2019-06-24T11:34:10.295621
6500.0,2923.0,1500.0,11595.0,9955.0,3157.0,-51.0,0,0,0,NONE,0,2019-06-24T11:34:10.588750
6517.0,2884.0,1495.0,11598.0,9992.0,3133.0,-70.0,0,0,0,NONE,0,2019-06-24T11:34:10.862188
6465.0,2905.0,1460.0,11612.0,9989.0,3211.0,-89.0,0,0,0,NONE,0,2019-06-24T11:34:11.145368
6545.0,2889.0,1489.0,11668.0,9955.0,3248.0,-50.0,0,0,0,NONE,0,2019-06-24T11:34:11.429909
6574.0,2929.0,1466.0,11638.0,9952.0,3231.0,-36.0,0,0,0,NONE,0,2019-06-24T11:34:11.723994
