seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
5673.0,4075.0,2067.0,11230.0,9538.0,563.0,430.0,0,0,0,NONE,0,2019-06-24T11:31:38.886921
5682.0,4089.0,2082.0,11142.0,9504.0,597.0,461.0,0,0,0,NONE,0,2019-06-24T11:31:39.171561
5710.0,4042.0,2077.0,11153.0,9515.0,559.0,429.0,0,0,0,NONE,0,2019-06-24T11:31:39.468071
5703.0,4070.0,2108.0,11161.0,9499.0,556.0,458.0,0,0,0,NONE,0,2019-06-24T11:31:39.737968
5722.0,4113.0,2132.0,11149.0,9560.0,535.0,472.0,0,0,0,NONE,0,2019-06-24T11:31:40.021283
5693.0,4106.0,2092.0,11099.0,9556.0,591.0,449.0,0,0,0,NONE,0,2019-06-24T11:31:40.305740
5650.0,4084.0,2162.0,11124.0,9514.0,585.0,417.0,0,0,0,NONE,0,2019-06-24T11:31:40.603288
5718.0,4107.0,2120.0,11118.0,9473.0,588.0,401.0,0,0,0,NONE,0,2019-06-24T11:31:40.872329
5708.0,4110.0,2135.0,11128.0,9486.0,584.0,412.0,0,0,0,NONE,0,2019-06-24T11:31:41.155440
5755.0,4061.0,2164.0,11168.0,9489.0,567.0,411.0,0,0,0,NONE,0,2019-06-24T11:31:41.440022
5670.0,4056.0,2116.0,11151.0,9516.0,621.0,345.0,0,0,0,NONE,0,2019-06-24T11:31:41.738557
5667.0,4023.0,2198.0,11165.0,9448.0,648.0,442.0,0,0,0,NONE,0,2019-06-24T11:31:42.006444
5705.0,4098.0,2176.0,11147.0,9498.0,614.0,479.0,0,0,0,NONE,0,2019-06-24T11:31:42.289771
5656.0,4032.0,2125.0,11108.0,9462.0,567.0,410.0,0,0,0,NONE,0,2019-06-24T11:31:42.572966
5735.0,4094.0,2167.0,11173.0,9540.0,668.0,437.0,0,0,0,NONE,0,2019-06-24T11:31:42.875007
5691.0,4037.0,2207.0,11154.0,9542.0,690.0,420.0,0,0,0,NONE,0,2019-06-24T11:31:43.140787
5665.0,4067.0,2249.0,11177.0,9484.0,682.0,363.0,0,0,0,NONE,0,2019-06-24T11:31:43.424084
5710.0,4070.0,2220.0,11229.0,9522.0,725.0,429.0,0,0,0,NONE,0,2019-06-24T11:31:43.707338
5661.0,4095.0,2231.0,11185.0,9537.0,657.0,419.0,0,0,0,NONE,0,2019-06-24T11:31:44.010478
5687.0,4077.0,2237.0,11217.0,9555.0,688.0,325.0,0,0,0,NONE,0,2019-06-24T11:31:44.275195
