seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
33153.0,107491.0,19959.0,7919.0,46880.0,14583.0,-4583.0,85.0,185.0,23,M,1,2019-06-18T15:08:15.437810
33054.0,106889.0,19931.0,7893.0,46982.0,14597.0,-4586.0,85.0,185.0,23,M,1,2019-06-18T15:08:16.010655
33232.0,107683.0,19881.0,7777.0,46488.0,14595.0,-4539.0,85.0,185.0,23,M,1,2019-06-18T15:08:16.577469
33201.0,107550.0,19867.0,7780.0,46446.0,14386.0,-4553.0,85.0,185.0,23,M,1,2019-06-18T15:08:17.145472
33079.0,107445.0,19917.0,7727.0,46179.0,14299.0,-4529.0,85.0,185.0,23,M,1,2019-06-18T15:08:17.712938
32689.0,106338.0,19911.0,7649.0,46121.0,14343.0,-4488.0,85.0,185.0,23,M,1,2019-06-18T15:08:18.280341
32739.0,105965.0,19952.0,7611.0,46257.0,14316.0,-4481.0,85.0,185.0,23,M,1,2019-06-18T15:08:18.847547
32809.0,106422.0,19934.0,7650.0,45762.0,14503.0,-4588.0,85.0,185.0,23,M,1,2019-06-18T15:08:19.415087
32570.0,106524.0,19952.0,7618.0,45451.0,14433.0,-4478.0,85.0,185.0,23,M,1,2019-06-18T15:08:19.982476
32671.0,106445.0,19793.0,7565.0,45389.0,14547.0,-4551.0,85.0,185.0,23,M,1,2019-06-18T15:08:20.549988
32788.0,106101.0,19838.0,7534.0,45405.0,14420.0,-4463.0,85.0,185.0,23,M,1,2019-06-18T15:08:21.117288
32822.0,106631.0,19796.0,7438.0,45551.0,14774.0,-4516.0,85.0,185.0,23,M,1,2019-06-18T15:08:21.684681
32914.0,107480.0,19788.0,7476.0,44479.0,14925.0,-4464.0,85.0,185.0,23,M,1,2019-06-18T15:08:22.252148
33342.0,107961.0,19816.0,7386.0,43872.0,14940.0,-4452.0,85.0,185.0,23,M,1,2019-06-18T15:08:22.819435
33469.0,106533.0,19770.0,7430.0,44004.0,14894.0,-4422.0,85.0,185.0,23,M,1,2019-06-18T15:08:23.387610
33921.0,107878.0,19922.0,7445.0,42480.0,12959.0,-4426.0,85.0,185.0,23,M,1,2019-06-18T15:08:23.954228
33694.0,108046.0,20013.0,7370.0,42738.0,12873.0,-4475.0,85.0,185.0,23,M,1,2019-06-18T15:08:24.523300
33342.0,106825.0,20153.0,7391.0,43184.0,13603.0,-4458.0,85.0,185.0,23,M,1,2019-06-18T15:08:25.088614
32127.0,105418.0,20087.0,7348.0,43792.0,14811.0,-4451.0,85.0,185.0,23,M,1,2019-06-18T15:08:25.659017
32203.0,105141.0,20109.0,7344.0,43795.0,14619.0,-4397.0,85.0,185.0,23,M,1,2019-06-18T15:08:26.224156
