seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
538.0,10670.0,16992.0,337.0,29562.0,6472.0,-14610.0,62.0,169.0,20,F,1,2019-06-20T11:49:23.161522
508.0,10734.0,16871.0,482.0,29443.0,6429.0,-14644.0,62.0,169.0,20,F,1,2019-06-20T11:49:23.740438
521.0,10764.0,16872.0,421.0,29263.0,6438.0,-14587.0,62.0,169.0,20,F,1,2019-06-20T11:49:24.308065
429.0,10697.0,16875.0,427.0,29125.0,6433.0,-14664.0,62.0,169.0,20,F,1,2019-06-20T11:49:24.876604
423.0,10659.0,16755.0,415.0,28957.0,6331.0,-14650.0,62.0,169.0,20,F,1,2019-06-20T11:49:25.444741
412.0,10709.0,16825.0,441.0,28988.0,6368.0,-14695.0,62.0,169.0,20,F,1,2019-06-20T11:49:26.012643
358.0,10755.0,16674.0,324.0,29017.0,6374.0,-14628.0,62.0,169.0,20,F,1,2019-06-20T11:49:26.580882
415.0,10788.0,16490.0,383.0,28882.0,6474.0,-14679.0,62.0,169.0,20,F,1,2019-06-20T11:49:27.148883
385.0,10797.0,16484.0,348.0,28728.0,6468.0,-14698.0,62.0,169.0,20,F,1,2019-06-20T11:49:27.717090
348.0,10780.0,16570.0,407.0,28517.0,6354.0,-14691.0,62.0,169.0,20,F,1,2019-06-20T11:49:28.285172
377.0,10752.0,16566.0,327.0,28397.0,6359.0,-14701.0,62.0,169.0,20,F,1,2019-06-20T11:49:28.853166
346.0,10725.0,16502.0,252.0,28399.0,6308.0,-14683.0,62.0,169.0,20,F,1,2019-06-20T11:49:29.421278
252.0,10807.0,16513.0,312.0,28411.0,6348.0,-14661.0,62.0,169.0,20,F,1,2019-06-20T11:49:29.989325
244.0,10871.0,16521.0,311.0,28416.0,6328.0,-14686.0,62.0,169.0,20,F,1,2019-06-20T11:49:30.557394
234.0,10868.0,16626.0,268.0,28491.0,6371.0,-14721.0,62.0,169.0,20,F,1,2019-06-20T11:49:31.125379
248.0,10789.0,16639.0,428.0,28282.0,6243.0,-14693.0,62.0,169.0,20,F,1,2019-06-20T11:49:31.693504
256.0,10906.0,16686.0,396.0,27854.0,6157.0,-14620.0,62.0,169.0,20,F,1,2019-06-20T11:49:32.261471
192.0,10886.0,16586.0,336.0,28073.0,6142.0,-14628.0,62.0,169.0,20,F,1,2019-06-20T11:49:32.829611
271.0,10867.0,16570.0,393.0,28074.0,6204.0,-14636.0,62.0,169.0,20,F,1,2019-06-20T11:49:33.397576
245.0,10870.0,16603.0,442.0,28149.0,6341.0,-14669.0,62.0,169.0,20,F,1,2019-06-20T11:49:33.965671
