seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
3339.0,9523.0,16820.0,303.0,35340.0,6519.0,-14335.0,62.0,169.0,20,F,1,2019-06-20T11:48:53.926572
3230.0,9483.0,16823.0,318.0,35333.0,6509.0,-14392.0,62.0,169.0,20,F,1,2019-06-20T11:48:54.485397
3171.0,9505.0,16855.0,297.0,35249.0,6449.0,-14329.0,62.0,169.0,20,F,1,2019-06-20T11:48:55.063009
3030.0,9552.0,16989.0,386.0,35726.0,6503.0,-14359.0,62.0,169.0,20,F,1,2019-06-20T11:48:55.621448
2921.0,9535.0,16983.0,327.0,36358.0,6524.0,-14460.0,62.0,169.0,20,F,1,2019-06-20T11:48:56.199257
3536.0,9649.0,16828.0,408.0,34563.0,6475.0,-14392.0,62.0,169.0,20,F,1,2019-06-20T11:48:56.757708
3349.0,9558.0,16850.0,293.0,35059.0,6540.0,-14292.0,62.0,169.0,20,F,1,2019-06-20T11:48:57.335677
3255.0,9645.0,16978.0,361.0,35051.0,6483.0,-14360.0,62.0,169.0,20,F,1,2019-06-20T11:48:57.893685
3277.0,9566.0,16809.0,336.0,35470.0,6471.0,-14404.0,62.0,169.0,20,F,1,2019-06-20T11:48:58.471956
3131.0,9520.0,16763.0,427.0,35278.0,6457.0,-14418.0,62.0,169.0,20,F,1,2019-06-20T11:48:59.029866
3192.0,9494.0,16974.0,297.0,34944.0,6461.0,-14435.0,62.0,169.0,20,F,1,2019-06-20T11:48:59.608358
3172.0,9517.0,16903.0,331.0,34856.0,6492.0,-14460.0,62.0,169.0,20,F,1,2019-06-20T11:49:00.165927
3054.0,9450.0,16997.0,392.0,34973.0,6458.0,-14448.0,62.0,169.0,20,F,1,2019-06-20T11:49:00.744607
3080.0,9446.0,16910.0,281.0,34979.0,6440.0,-14440.0,62.0,169.0,20,F,1,2019-06-20T11:49:01.302108
3077.0,9519.0,16871.0,292.0,34846.0,6456.0,-14433.0,62.0,169.0,20,F,1,2019-06-20T11:49:01.880874
3418.0,9554.0,16615.0,302.0,35019.0,6396.0,-14476.0,62.0,169.0,20,F,1,2019-06-20T11:49:02.438236
3846.0,9728.0,15916.0,369.0,34884.0,6349.0,-14405.0,62.0,169.0,20,F,1,2019-06-20T11:49:03.017057
3638.0,9617.0,16091.0,363.0,34501.0,6450.0,-14444.0,62.0,169.0,20,F,1,2019-06-20T11:49:03.574295
3653.0,9622.0,16088.0,356.0,34760.0,6361.0,-14447.0,62.0,169.0,20,F,1,2019-06-20T11:49:04.153418
3610.0,9555.0,15936.0,324.0,34878.0,6355.0,-14500.0,62.0,169.0,20,F,1,2019-06-20T11:49:04.710500
