seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
23859.0,44493.0,39176.0,14179.0,6611.0,3267.0,31556.0,66.0,168.0,23,M,1,2019-06-18T15:45:59.168855
23869.0,44406.0,39230.0,14075.0,6469.0,3224.0,31475.0,66.0,168.0,23,M,1,2019-06-18T15:45:59.736175
24000.0,44405.0,39107.0,14103.0,6546.0,3189.0,31433.0,66.0,168.0,23,M,1,2019-06-18T15:46:00.303565
23897.0,44404.0,39187.0,14103.0,6449.0,3265.0,31612.0,66.0,168.0,23,M,1,2019-06-18T15:46:00.871049
23967.0,44367.0,39098.0,14014.0,6168.0,3264.0,31526.0,66.0,168.0,23,M,1,2019-06-18T15:46:01.478858
24045.0,44425.0,39062.0,14105.0,6182.0,3181.0,31490.0,66.0,168.0,23,M,1,2019-06-18T15:46:02.005897
23877.0,44405.0,39082.0,14108.0,6320.0,3355.0,31405.0,66.0,168.0,23,M,1,2019-06-18T15:46:02.573504
24032.0,44560.0,39126.0,13994.0,5997.0,3275.0,31501.0,66.0,168.0,23,M,1,2019-06-18T15:46:03.140858
23981.0,44622.0,39082.0,14020.0,6101.0,3282.0,31480.0,66.0,168.0,23,M,1,2019-06-18T15:46:03.708393
24200.0,44277.0,39203.0,14025.0,5675.0,2737.0,31325.0,66.0,168.0,23,M,1,2019-06-18T15:46:04.275768
24109.0,44124.0,39170.0,14090.0,5703.0,2377.0,31563.0,66.0,168.0,23,M,1,2019-06-18T15:46:04.843227
23938.0,44462.0,39141.0,14001.0,6048.0,3011.0,31610.0,66.0,168.0,23,M,1,2019-06-18T15:46:05.410692
23041.0,44226.0,39379.0,14111.0,5907.0,2539.0,31241.0,66.0,168.0,23,M,1,2019-06-18T15:46:05.978154
23458.0,44622.0,39334.0,14007.0,6100.0,2758.0,32199.0,66.0,168.0,23,M,1,2019-06-18T15:46:06.545713
23849.0,44420.0,39227.0,13952.0,5670.0,2680.0,31916.0,66.0,168.0,23,M,1,2019-06-18T15:46:07.113056
24650.0,43849.0,39159.0,13776.0,5525.0,2805.0,32153.0,66.0,168.0,23,M,1,2019-06-18T15:46:07.680628
25703.0,42856.0,39127.0,14184.0,5473.0,2823.0,32380.0,66.0,168.0,23,M,1,2019-06-18T15:46:08.248021
25903.0,42691.0,39260.0,14148.0,5512.0,2420.0,32226.0,66.0,168.0,23,M,1,2019-06-18T15:46:08.815591
25839.0,42840.0,39359.0,14097.0,5443.0,2269.0,32282.0,66.0,168.0,23,M,1,2019-06-18T15:46:09.383023
25550.0,43481.0,39123.0,13928.0,5939.0,2665.0,32213.0,66.0,168.0,23,M,1,2019-06-18T15:46:09.950519
