seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
22588.0,27682.0,19117.0,18362.0,9099.0,12375.0,-1061.0,66.0,170.0,24,M,1,2019-06-17T15:55:58.273802
22377.0,27779.0,19137.0,18560.0,8453.0,12157.0,-1094.0,66.0,170.0,24,M,1,2019-06-17T15:55:58.864315
22368.0,27941.0,19010.0,18447.0,9031.0,12125.0,-1033.0,66.0,170.0,24,M,1,2019-06-17T15:55:59.408516
22265.0,27935.0,19063.0,18484.0,8393.0,11880.0,-1052.0,66.0,170.0,24,M,1,2019-06-17T15:56:00.000060
22446.0,27999.0,18921.0,18344.0,7947.0,12006.0,-1051.0,66.0,170.0,24,M,1,2019-06-17T15:56:00.543969
22374.0,27989.0,18977.0,18398.0,8093.0,12027.0,-1040.0,66.0,170.0,24,M,1,2019-06-17T15:56:01.135859
22290.0,27884.0,18854.0,18422.0,8051.0,12239.0,-1084.0,66.0,170.0,24,M,1,2019-06-17T15:56:01.679154
22155.0,27903.0,18881.0,18494.0,8258.0,12063.0,-1050.0,66.0,170.0,24,M,1,2019-06-17T15:56:02.271572
22132.0,28042.0,18803.0,18419.0,7907.0,11998.0,-1043.0,66.0,170.0,24,M,1,2019-06-17T15:56:02.813720
22200.0,28317.0,18761.0,18460.0,7375.0,11703.0,-1109.0,66.0,170.0,24,M,1,2019-06-17T15:56:03.407406
22278.0,28566.0,18761.0,18486.0,7323.0,12304.0,-1031.0,66.0,170.0,24,M,1,2019-06-17T15:56:03.949186
22415.0,28613.0,18721.0,18485.0,7738.0,12153.0,-1014.0,66.0,170.0,24,M,1,2019-06-17T15:56:04.543258
22414.0,28385.0,18527.0,18433.0,7919.0,11944.0,-1030.0,66.0,170.0,24,M,1,2019-06-17T15:56:05.083787
22597.0,28548.0,18167.0,18455.0,7960.0,11824.0,-940.0,66.0,170.0,24,M,1,2019-06-17T15:56:05.679006
22198.0,27919.0,17880.0,18497.0,9610.0,10883.0,-998.0,66.0,170.0,24,M,1,2019-06-17T15:56:06.219694
23745.0,27669.0,17975.0,18251.0,9243.0,10488.0,-945.0,66.0,170.0,24,M,1,2019-06-17T15:56:06.814679
23892.0,27919.0,17976.0,18373.0,8531.0,11237.0,-1010.0,66.0,170.0,24,M,1,2019-06-17T15:56:07.354711
24025.0,28519.0,17903.0,18311.0,8555.0,11212.0,-927.0,66.0,170.0,24,M,1,2019-06-17T15:56:07.950391
23849.0,28664.0,17964.0,18442.0,8768.0,11339.0,-990.0,66.0,170.0,24,M,1,2019-06-17T15:56:08.489611
23983.0,28760.0,17818.0,18242.0,8978.0,11624.0,-1013.0,66.0,170.0,24,M,1,2019-06-17T15:56:09.085700
