seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
32947.0,35324.0,13622.0,9697.0,14522.0,11086.0,-6271.0,66.0,178.0,24,M,1,2019-06-19T12:45:30.640205
33012.0,35227.0,13663.0,9674.0,14576.0,10950.0,-6335.0,66.0,178.0,24,M,1,2019-06-19T12:45:31.162113
33107.0,35215.0,13655.0,9634.0,14490.0,10875.0,-6361.0,66.0,178.0,24,M,1,2019-06-19T12:45:31.729304
33146.0,35386.0,13737.0,9671.0,13914.0,11288.0,-6418.0,66.0,178.0,24,M,1,2019-06-19T12:45:32.297561
33152.0,35212.0,13782.0,9710.0,14419.0,10984.0,-6422.0,66.0,178.0,24,M,1,2019-06-19T12:45:32.865322
32982.0,35097.0,13818.0,9707.0,14423.0,10831.0,-6464.0,66.0,178.0,24,M,1,2019-06-19T12:45:33.433138
33050.0,35017.0,13754.0,9659.0,14253.0,11037.0,-6459.0,66.0,178.0,24,M,1,2019-06-19T12:45:34.001103
33305.0,35246.0,13764.0,9676.0,13718.0,11454.0,-6474.0,66.0,178.0,24,M,1,2019-06-19T12:45:34.568582
33108.0,35071.0,13838.0,9655.0,14071.0,10915.0,-6506.0,66.0,178.0,24,M,1,2019-06-19T12:45:35.136314
33257.0,35045.0,13866.0,9699.0,14245.0,10704.0,-6584.0,66.0,178.0,24,M,1,2019-06-19T12:45:35.704152
33373.0,34942.0,13903.0,9685.0,13972.0,10733.0,-6579.0,66.0,178.0,24,M,1,2019-06-19T12:45:36.271914
33377.0,35214.0,13899.0,9633.0,13410.0,11275.0,-6570.0,66.0,178.0,24,M,1,2019-06-19T12:45:36.839601
32821.0,34984.0,14009.0,9614.0,14047.0,11179.0,-6623.0,66.0,178.0,24,M,1,2019-06-19T12:45:37.407384
32719.0,34955.0,14011.0,9649.0,13911.0,11039.0,-6723.0,66.0,178.0,24,M,1,2019-06-19T12:45:37.975234
32473.0,34863.0,13989.0,9589.0,14101.0,11025.0,-6652.0,66.0,178.0,24,M,1,2019-06-19T12:45:38.542927
32666.0,35144.0,13929.0,9559.0,13362.0,11185.0,-6686.0,66.0,178.0,24,M,1,2019-06-19T12:45:39.110754
32479.0,35117.0,13974.0,9544.0,13746.0,11000.0,-6714.0,66.0,178.0,24,M,1,2019-06-19T12:45:39.678462
32251.0,34758.0,14054.0,9502.0,14152.0,10690.0,-6692.0,66.0,178.0,24,M,1,2019-06-19T12:45:40.246193
32447.0,34839.0,13920.0,9504.0,13823.0,10977.0,-6685.0,66.0,178.0,24,M,1,2019-06-19T12:45:40.814082
32759.0,35034.0,13949.0,9403.0,13275.0,11312.0,-6697.0,66.0,178.0,24,M,1,2019-06-19T12:45:41.381808
